Distance,Distance_rs,Distance_36k,Line,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip,filt_clip_oib,misfit,abs_misfit
53000.0,,,,,,,,,,,,,,,,,-3374.303238221149,,
53013.165751413115,73000.0,60000.0,590.0,-977.5137064707334,13.064973168273651,14511.503426700001,283220.498675395,-1030340.2638037767,-9839.33854129088,-9839.33854129088,-3818.4121853798333,1.0,88.33333333333333,-3452.808669388324,-3292.6092812212314,-3292.6092812212314,-3376.843653643851,-84.2343724226198,84.2343724226198
54000.0,,,,,,,,,,,,,,,,,-3379.384069066554,,
56828.49171508614,78000.0,72000.0,590.0,-957.8730013436495,11.142446856038585,16631.161230600002,279385.3919919905,-1030338.44479311,-9734.508056268474,-9734.508056268474,-3830.804621902841,1.0,50.0,-3759.535328098145,-3563.639876642233,-3563.639876642233,-3381.924484489256,181.71539215297707,181.71539215297707
58000.0,,,,,,,,,,,,,,,,,-3384.464899911958,,
63000.0,,,,,,,,,,,,,,,,,-3395.670626764207,,
63124.41693579641,83000.0,72000.0,590.0,-933.4642120605006,9.73550385462557,21522.679239600002,273061.831909073,-1030338.32014974,-11073.4399409877,-11073.4399409877,-4098.481250799812,1.0,50.0,-4010.8251156843407,-3816.4410875101325,-3816.4410875101325,-3399.7538907687695,416.6871967413631,416.6871967413631
67770.6911649622,88000.0,72000.0,590.0,-924.5593258576655,7.20998799975062,22011.8310405,268398.3055156585,-1030340.27363239,-10201.986816017914,-10201.986816017914,-4247.190489075907,1.0,50.0,-4206.67803214691,-4034.8357457507896,-4034.8357457507896,-3403.8371547733323,630.9985909774573,630.9985909774573
68000.0,,,,,,,,,,,,,,,,,-3407.9204187778946,,
73000.0,,,,,,,,,,,,,,,,,-3421.214275953022,,
74463.5106858307,93000.0,72000.0,590.0,-916.9040498971797,3.6696198882054665,20055.2238369,261684.59338309435,-1030341.00775382,-7880.319172869247,-7880.319172869247,-4243.305106878413,1.0,50.0,-4347.094077485851,-4202.970226651544,-4202.970226651544,-3425.9935833985446,776.9766432529996,776.9766432529996
76656.17778054714,98000.0,72000.0,590.0,-913.7366589178224,2.4816505278031733,22990.1346423,259485.90393181768,-1030340.8979991,-6179.118814855294,-6179.118814855294,-4240.685930084523,1.0,50.0,-4432.073251701166,-4315.667836428673,-4315.667836428673,-3430.7728908440668,884.8949455846059,884.8949455846059
78000.0,,,,,,,,,,,,,,,,,-3435.5521982895893,,
82932.01085534676,103000.0,72000.0,590.0,-901.5398736199329,2.95630091014878,22500.9828414,253194.62118324748,-1030340.27470802,-5764.074218515505,-5764.074218515505,-4202.707866573108,1.0,50.0,-4461.615554792854,-4372.928575082174,-4372.928575082174,-3443.4097088773688,929.5188662048049,929.5188662048049
83000.0,,,,,,,,,,,,,,,,,-3451.267219465148,,
88000.0,,,,,,,,,,,,,,,,,-3470.0615116094123,,
88001.20064171025,108000.0,90000.0,590.0,-884.5781424287425,5.843908704596475,14185.4022261,248114.4371834225,-1030341.798115265,-5278.195068141726,-5278.195068141726,-4116.275032374715,1.0,42.5,-4435.720986760914,-4374.752442612048,-4374.752442612048,-3481.923386714654,892.829055897394,892.829055897394
93000.0,,,,,,,,,,,,,,,,,-3493.785261819896,,
93023.71554359552,113000.0,108000.0,590.0,-861.59602130413,4.824194268971825,20544.3756378,243082.29750816902,-1030341.92813512,-7500.6787106428,-7500.6787106428,-3998.4120766496335,1.0,35.0,-4354.389547605348,-4321.139439018295,-4321.139439018295,-3509.036959507005,812.1024795112899,812.1024795112899
98000.0,,,,,,,,,,,,,,,,,-3524.2886571941144,,
99615.8576228154,118000.0,108000.0,590.0,-830.26114519666,3.136260363851715,8315.5806153,236479.0244588845,-1030341.6524495699,-4889.72192362394,-4889.72192362394,-3935.551833596257,1.0,35.0,-4217.621237326155,-4213.364060914072,-4213.364060914072,-3537.3330664059367,676.0309945081353,676.0309945081353
102651.3033807806,123000.0,108000.0,590.0,-817.0368444221456,3.31365768639348,6848.1252126,233438.9544791765,-1030341.170554565,-4881.3229978429845,-4881.3229978429845,-3927.6943032145846,1.0,35.0,-4025.4160559233346,-4064.4898985842315,-4064.4898985842315,-3550.3774756177595,514.112422966472,514.112422966472
103000.0,,,,,,,,,,,,,,,,,-3563.421884829582,,
108000.0,,,,,,,,,,,,,,,,,-3613.035131823812,,
108449.9407236066,128000.0,108000.0,590.0,-796.8215437917715,3.854166450211953,16631.161230600002,227632.2702313425,-1030338.9777602451,-8234.225097336157,-8234.225097336157,-3903.927649294318,1.0,35.0,-3785.4209830758264,-3890.4481596932287,-3890.4481596932287,-3643.8403417102904,246.6078179829383,246.6078179829383
113000.0,,,,,,,,,,,,,,,,,-3674.6455515967687,,
113254.16944041035,133000.0,108000.0,590.0,-781.7829964553235,1.93664030681157,23479.2864432,222822.098590737,-1030335.16756045,-6377.029540759881,-6377.029540759881,-3808.0847825122546,1.0,35.0,-3568.3705808138106,-3707.1700519055194,-3707.1700519055194,-3699.230754103263,7.939297802256533,7.939297802256533
117915.24191109944,138000.0,108000.0,590.0,-769.0907204893585,3.5312611690632503,24946.7418459,218155.73355144152,-1030331.271015285,-8278.86450163147,-8278.86450163147,-3760.1633491212233,1.0,35.0,-3391.470553414899,-3530.5867828855585,-3530.5867828855585,-3723.815956609757,-193.22917372419852,193.22917372419852
118000.0,,,,,,,,,,,,,,,,,-3748.401159116251,,
120814.64728057197,143000.0,108000.0,590.0,-761.476537477118,2.32506188440279,17120.313031499998,215253.290956485,-1030327.801231705,-5514.80859352415,-5514.80859352415,-3736.2026324257076,1.0,35.0,-3254.720900879092,-3376.629560297801,-3376.629560297801,-3791.351556749256,-414.72199645145474,414.72199645145474
123000.0,,,,,,,,,,,,,,,,,-3834.3019543822606,,
126000.0,,,,,,,,,,,,,,,,,-3866.9839487197723,,
126297.12161727247,148000.0,144000.0,590.0,-746.6068645220855,15.341788141052273,22990.1346423,209765.295534994,-1030324.83867595,-10701.4506831881,-10701.4506831881,-3664.3204823391598,1.0,45.0,-3158.121623206389,-3259.9550951935457,-3259.9550951935457,-3899.6659430572845,-639.7108478637388,639.7108478637388
128000.0,,,,,,,,,,,,,,,,,-3932.347937394796,,
132931.09521590936,153000.0,144000.0,590.0,-727.019976310126,15.01755523491396,18098.6166333,203124.8179558795,-1030331.51514002,-10504.749023038645,-10504.749023038645,-3233.0275818198734,1.0,45.0,-3101.6727203967907,-3183.4310049523956,-3183.4310049523956,-3987.443522774327,-804.0125178219314,804.0125178219314
133000.0,,,,,,,,,,,,,,,,,-4042.539108153858,,
138000.0,,,,,,,,,,,,,,,,,-4164.875466659446,,
138205.857176026,158000.0,144000.0,590.0,-709.6307746748535,3.0869795346396804,19566.072035999998,197845.2774955095,-1030338.1444111001,-6093.186034910345,-6093.186034910345,-3137.18471503781,1.0,45.0,-3085.3741924502965,-3147.0572895743494,-3147.0572895743494,-4209.702648743484,-1062.6453591691347,1062.6453591691347
142861.17892573975,163000.0,144000.0,590.0,-693.9231902949984,11.12295119119358,21033.527438700003,193186.1694877425,-1030340.488638615,-9624.56616174106,-9624.56616174106,-3117.6136867313153,1.0,45.0,-3109.2260393669076,-3150.8339490594076,-3150.8339490594076,-4254.529830827523,-1103.6958817681157,1103.6958817681157
143000.0,,,,,,,,,,,,,,,,,-4299.3570129115615,,
148000.0,,,,,,,,,,,,,,,,,-4445.983746910203,,
148294.24006760016,168000.0,144000.0,590.0,-675.800423072379,1.8910784509807999,18098.6166333,187749.068431738,-1030341.1595902899,-4590.666015431185,-4590.666015431185,-3176.5458549837194,1.0,45.0,-3173.2282611466208,-3194.76098340757,-3194.76098340757,-4525.267330848089,-1330.5063474405188,1330.5063474405188
153000.0,,,,,,,,,,,,,,,,,-4604.550914785975,,
153010.36523002762,173000.0,144000.0,590.0,-660.1230630176256,5.5938274042058005,15163.705827900001,183029.7179438665,-1030340.411973815,-6346.866943104675,-6346.866943104675,-3189.6418923731426,1.0,45.0,-3277.3808577894406,-3275.673383051,-3275.673383051,-4686.323899882693,-1410.6505168316926,1410.6505168316926
158000.0,,,,,,,,,,,,,,,,,-4768.096884979411,,
158700.27695001385,178000.0,162000.0,590.0,-645.702392163677,2.63065219537029,16631.161230600002,177336.2533044375,-1030337.15787111,-6863.250243868025,-6863.250243868025,-3235.4780232361236,1.0,62.0,-3421.6838292953635,-3377.3944324207564,-3377.3944324207564,-4847.240424500058,-1469.8459920793016,1469.8459920793016
163000.0,,,,,,,,,,,,,,,,,-4926.383964020705,,
163446.50000428254,183000.0,180000.0,590.0,-637.1241216238675,23.37711692710495,14185.402226100001,172587.1677598275,-1030337.020028115,-11886.624022990749,-11886.624022990749,-3248.5740606255467,1.0,79.0,-3587.1471182573723,-3482.3407450288582,-3482.3407450288582,-4997.779211230381,-1515.4384662015232,1515.4384662015232
168000.0,,,,,,,,,,,,,,,,,-5069.174458440057,,
168033.9780942301,188000.0,180000.0,590.0,-633.0901876027355,15.101455354916489,22011.8310405,167997.090231777,-1030336.48175681,-10958.307616772941,-10958.307616772941,-3346.79434104622,1.0,79.0,-3695.7004886688337,-3572.9289343873256,-3572.9289343873256,-5127.702566603858,-1554.7736322165324,1554.7736322165324
173000.0,,,,,,,,,,,,,,,,,-5186.230674767659,,
173338.09977179303,193000.0,180000.0,590.0,-632.5690754309485,3.283621218103235,22011.8310405,162690.01484841,-1030339.57019079,-5308.993896265654,-5308.993896265654,-3621.8111262241055,1.0,79.0,-3738.9039150155177,-3631.575614008177,-3631.575614008177,-5226.772797150685,-1595.1971831425076,1595.1971831425076
178000.0,,,,,,,,,,,,,,,,,-5267.31491953371,,
181778.9443151209,198000.0,180000.0,590.0,-643.0087952249589,10.942258475500784,13696.2504252,154244.8159887965,-1030344.7990370151,-7519.82641572027,-7519.82641572027,-3716.7573972974233,1.0,79.0,-3716.7573972974233,-3640.6973974034336,-3640.6973974034336,-5284.854586335756,-1644.1571889323222,1644.1571889323222
183000.0,,,,,,,,,,,,,,,,,-5302.394253137802,,
183706.23083389454,203000.0,180000.0,590.0,-646.4904255112815,15.717474096864343,12962.522723850001,152316.59855445824,-1030345.7587258975,-9505.094848268636,-9505.094848268636,-3689.975029592053,1.0,79.0,-3629.260935514551,-3585.87590765295,-3585.87590765295,-5297.660373315066,-1711.784465662116,1711.784465662116
187173.99226807625,208000.0,180000.0,590.0,-654.5135428920639,3.499144332869255,15652.8576288,148847.2174178795,-1030347.25214506,-8188.363769212694,-8188.363769212694,-3582.845558770571,1.0,79.0,-3476.414529666901,-3467.3568022872873,-3467.3568022872873,-5292.926493492331,-1825.569691205044,1825.569691205044
188000.0,,,,,,,,,,,,,,,,,-5288.192613669596,,
193000.0,,,,,,,,,,,,,,,,,-5224.710001129093,,
194490.7714718363,213000.0,198000.0,590.0,-677.8073679442291,2.39352960580999,17609.4648324,141527.190966254,-1030351.07979611,-7348.53027314806,-7348.53027314806,-3422.151352538348,1.0,91.0,-3258.2181797544736,-3302.076447914826,-3302.076447914826,-5168.328208322693,-1866.251760407867,1866.251760407867
198000.0,,,,,,,,,,,,,,,,,-5111.946415516292,,
198000.0,,,,,,,,,,,,,,,,,-5071.435275845019,,
198017.1280560812,218000.0,216000.0,590.0,-690.171427906468,2.05461866740088,17120.3130315,137999.3576120415,-1030352.83663028,-6067.095947020625,-6067.095947020625,-3315.021881716866,1.0,103.0,-2984.585856474857,-3110.6889501555465,-3110.6889501555465,-5030.924136173744,-1920.2351860181975,1920.2351860181975
