Distance,Distance_36k,Line,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip
68000.0,36000.0,70.0,-828.392432999584,2.21918871041476,18662.6243546,-228773.6004790465,-509937.0919990045,-3426.1772459403055,-3426.1772459403055,-2108.6363366742626,0.0,63.0,-1615.2821271013297,-1577.0537564871704,-1577.0537564871704
73000.0,54000.0,70.0,-848.654732067288,4.93681550525725,25153.9719562,-234401.66369285848,-510006.4532376635,-3884.069123164657,-3884.069123164657,-2144.0927742627173,0.0,93.5,-1844.1156885314983,-1785.1086606170866,-1785.1086606170866
78000.0,72000.0,70.0,-866.997538071497,5.64109384091098,22719.7166056,-240194.6290731475,-510078.2382839465,-6250.688964592386,-6250.688964592386,-2746.852213266455,0.0,124.0,-2114.506564562171,-2034.7208793475074,-2034.7208793475074
18000.0,0.0,70.0,-718.7453949116675,3.06284987740005,23531.135055799998,-180168.50977740402,-510325.10794746445,-2829.9465330703497,-2829.9465330703497,-1612.5988158273951,1.0,87.0,,,
54000.0,36000.0,70.0,-807.2375178954885,1.608383161208545,16634.0782291,-216172.8269162045,-510139.7477809485,-2195.0029295767354,-2195.0029295767354,-1195.633068771542,1.0,63.0,,,
90000.0,72000.0,70.0,-908.0116908485065,6.7626840297980255,13388.4044283,-251696.0389001985,-510209.49298163306,-7188.113280966136,-7188.113280966136,-2932.998510605845,1.0,124.0,,,
33000.0,0.0,80.0,-790.8580920179423,3.7720459126423433,13568.664301933333,-180294.558522523,-520309.08390611835,-4611.60302714921,-4611.60302714921,-2767.943476462207,0.0,75.0,-2331.3512033367288,-2470.852962539191,-2470.852962539191
38000.0,36000.0,80.0,-816.9352052269351,2.9192504000083153,16785.976456,-185939.357407612,-520326.7749776865,-3453.4246824628,-3453.4246824628,-2521.657344985095,0.0,211.0,-2192.653698921197,-2313.0228198523787,-2313.0228198523787
43000.0,36000.0,80.0,-827.821443977431,9.22791122932424,18884.223513,-192552.8397260005,-520348.23729644,-7424.23364228607,-7424.23364228607,-2189.925004628168,0.0,211.0,-2092.2214710482262,-2193.4579537081268,-2193.4579537081268
48000.0,36000.0,80.0,-831.494519700823,9.729409312401305,9651.9364622,-196568.7630819035,-520356.92030686,-7096.26879854744,-7096.26879854744,-2177.862010433371,0.0,211.0,-2030.054519717818,-2112.1583641064376,-2112.1583641064376
53000.0,36000.0,80.0,-811.926511112534,6.854105539855375,19723.5223358,-200942.2678041005,-520362.888929174,-5888.170898198699,-5888.170898198699,-2087.389553972391,0.0,211.0,-2006.1528449299708,-2069.12405104731,-2069.12405104731
58000.0,36000.0,80.0,-802.9076570712155,3.032831591305795,8812.6376394,-205421.697729993,-520362.9928880835,-4227.4160154437795,-4227.4160154437795,-2409.0697982869706,0.0,211.0,-2020.5164466846854,-2064.3550145307436,-2064.3550145307436
