Distance,Distance_36k,Line,ANTOSTRAT_basement,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,oib_basement,oib_basement_filt,filt_clip
153000.0,144000.0,404.65,,-406.57636003400125,1.3509703467397376,3190.3478752499996,-318308.7088274745,-1089039.5265722575,-773.7527465205426,-773.7527465205426,-563.4452049497143,0.0,39.0,-561.8227246424799,-650.6737576196687,-650.6737576196687
158000.0,144000.0,404.65,,-414.9745547585029,1.4467892173634314,4076.5556183749995,-315769.82599697076,-1089070.9756370662,-738.0428161018588,-738.0428161018588,-549.8482090265875,0.0,39.0,-529.7297936772791,-605.1500612626331,-605.1500612626331
163000.0,144000.0,404.65,,-440.16913893200774,1.7342458292345126,6735.1788477499995,-308153.1775054595,-1089165.3228314924,-630.9130248458075,-630.9130248458075,-539.2260543422503,0.0,39.0,-542.3532018764425,-595.6632833293463,-595.6632833293463
168000.0,144000.0,404.65,,-462.714968481853,2.3275001440590097,3544.8309725,-301774.112680456,-1089245.3259836,-569.7017211369899,-569.7017211369899,-580.8738316853041,0.0,39.0,-599.6929492399701,-630.6448611106917,-630.6448611106917
173000.0,144000.0,404.65,,-484.8073638844435,3.810696689935625,6026.21265325,-296875.4685301525,-1089311.02900836,-1948.25329579623,-1948.25329579623,-634.4209739835162,0.0,39.0,-701.7490357678615,-707.4417976722242,-707.4417976722242
178000.0,144000.0,404.65,,-507.01030066362705,2.85332021281631,5317.24645875,-291882.1256934495,-1089353.436384165,-1468.819335851915,-1468.819335851915,-735.5655761023613,0.0,39.0,-848.5214614601174,-811.226859939261,-811.226859939261
183000.0,180000.0,404.65,,-537.4101159798861,15.49899956164902,9216.5605285,-286691.3038126985,-1089397.33055316,-2266.4587401211347,-2266.4587401211347,-914.0560504297348,0.0,90.0,-1022.6043440116748,-925.8834902219293,-925.8834902219293
188000.0,180000.0,404.65,,-577.4901546633195,9.2616708375179,8507.594334,-281599.4882484065,-1089452.54901296,-2836.42211900763,-2836.42211900763,-1140.1439845777413,0.0,90.0,-1152.4401672794995,-1035.2951308303566,-1035.2951308303566
193000.0,180000.0,404.65,,-605.1997643157849,7.728865386119295,2835.864778,-276917.68800510745,-1089489.083958045,-3609.125732262085,-3609.125732262085,-1229.3892217414282,0.0,90.0,-1230.2929835724528,-1123.3452240746708,-1123.3452240746708
198000.0,180000.0,404.65,,-620.7919879264889,1.07891867508932,3190.3478752499996,-271577.86930486455,-1089534.5385135398,-1926.2534178673,-1926.2534178673,-1256.1627928905343,0.0,90.0,-1256.1627928905343,-1173.9172122649982,-1173.9172122649982
203000.0,180000.0,404.65,,-624.1536893205675,1.05326967640231,2126.8985835,-266966.5930025655,-1089594.035415775,-1333.978393473775,-1333.978393473775,-1206.6389231276496,0.0,90.0,-1230.0495952337446,-1173.7955180956442,-1173.7955180956442
208000.0,192000.0,404.65,,-622.3570727179024,1.7234898843137567,4726.441296666667,-261825.241336272,-1089634.8665832167,-1107.3557001861577,-1107.3557001861577,-1197.4678361345227,0.0,84.33333333333333,-1151.9533906020831,-1123.1516566306088,-1123.1516566306088
213000.0,204000.0,404.65,,-620.5648699228377,2.4261510228875434,7325.984009833333,-257130.987225175,-1089673.9509098732,-863.0641836569655,-863.0641836569655,-1193.799401337272,0.0,78.66666666666667,-1021.8741789955507,-1036.9592345815906,-1036.9592345815906
