x,y,Line,bedmap2_bed,Distance,Susc,Window_Width,Depth,data/results/rosetta_lindeque_basement_g80kfilt.nc,Distance_36k,Depth_36k
342407.645133,-1030391.20466,590.0,-515.649588044,13580.5791016,3.133657063,15163.7058279,-2708.68139636,-2354.50586914,0.0,-2708.68139636
342206.184803,-1030392.68848,590.0,-520.041620606,13782.0449219,12.2207869254,13207.0986243,-5951.94921851,-2361.47494817,0.0,-5951.94921851
341867.98574,-1030394.8182,590.0,-527.418309459,14120.2529297,1.66728737221,14185.4022261,-1553.41381827,-2373.30797364,0.0,-1553.41381827
341798.308086,-1030394.73676,590.0,-528.941516215,14189.9306641,6.06315923448,16142.0094297,-4405.26367169,-2375.76296842,0.0,-4405.26367169
341704.996754,-1030394.54807,590.0,-530.981844304,14283.2421875,12.8881940404,15163.7058279,-7224.08984346,-2379.05977228,0.0,-7224.08984346
341324.144427,-1030395.01002,590.0,-539.144638448,14664.0957031,21.2849596875,22011.8310405,-9278.70117152,-2392.62319615,0.0,-9278.70117152
341106.93295,-1030395.2106,590.0,-543.695910299,14881.3076172,93.5039315103,35708.0814657,-17966.30664,-2400.42285929,,
340090.71952,-1030399.41729,590.0,-564.560137322,15897.5361328,7.19337804422,18098.6166333,-5491.68701149,-2437.34213625,0.0,-5491.68701149
339931.527195,-1030399.44555,590.0,-567.737235393,16056.7285156,28.953588646,33751.4742621,-11883.1572261,-2443.15717838,,
339711.831121,-1030399.58441,590.0,-572.121250704,16276.4248047,1.72882397556,8315.5806153,-4477.30126934,-2451.1862228,0.0,-4477.30126934
339185.066203,-1030400.83877,590.0,-582.628627541,16803.1914063,7.17191422159,17120.3130315,-5504.03369118,-2470.42202824,0.0,-5504.03369118
338128.723967,-1030396.20666,590.0,-603.003765675,17859.5488281,1.68996381743,12228.7950225,-2106.09887685,-2508.55134127,0.0,-2106.09887685
337794.218487,-1030396.40513,590.0,-609.013621797,18194.0546875,67.4814811736,32773.1706603,-18090.3613275,-2520.43200641,,
337628.621376,-1030396.82262,590.0,-611.986908133,18359.6523438,1.97735095794,18098.6166333,-4698.68847636,-2526.26623073,0.0,-4698.68847636
337615.537468,-1030396.86726,590.0,-612.221759673,18372.7363281,1.07602443687,1467.4554027,-612.221759673,-2526.72575732,,
337350.606507,-1030398.03624,590.0,-616.960378522,18637.6699219,34.4964549913,31794.8670585,-13161.3339839,-2536.00490281,,
336685.787024,-1030398.49743,590.0,-628.83701103,19302.4902344,52.3246280442,31794.8670585,-15248.6113276,-2559.40019637,,
336017.055703,-1030395.31308,590.0,-639.935609334,19971.2304688,0.583386278156,12228.7950225,-639.935609334,-2582.9838025,,
335279.691295,-1030392.51833,590.0,-651.734645365,20708.6015625,100.513224171,49404.3318909,-18637.8320306,-2608.84803179,,
335108.972399,-1030393.20126,590.0,-654.420799312,20879.3222656,82.6848142299,49404.3318909,-17451.6367181,-2614.79894322,,
334846.329272,-1030396.01018,590.0,-658.546083397,21141.9804688,93.5160917629,47447.7246873,-18262.65039,-2623.91941032,,
334595.712328,-1030397.69703,590.0,-662.48933142,21392.6035156,0.236729724254,11250.4914207,-662.48933142,-2632.54851857,,
334520.669664,-1030397.8849,590.0,-663.671657619,21467.6464844,90.1244451833,46469.4210855,-17907.6757806,-2635.11560113,,
334073.324067,-1030395.42412,590.0,-669.583085113,21915.0019531,71.2642756213,48426.0282891,-16182.5175775,-2650.23262701,,
333907.46009,-1030393.8954,590.0,-671.757550319,22080.8730469,46.0169977558,30816.5634567,-14632.9482416,-2655.75693444,,
333848.762185,-1030393.50259,590.0,-672.526516492,22139.5722656,70.2552738758,47447.7246873,-16394.8124994,-2657.70253515,,
333470.078267,-1030392.46071,590.0,-677.444432362,22518.2578125,45.5542515169,49404.3318909,-12841.5917964,-2670.12247037,,
333427.588171,-1030392.35241,590.0,-677.948260752,22560.7480469,0.477137511948,12228.7950225,-1096.38403313,-2671.49949292,,
333049.367759,-1030392.07574,590.0,-682.429533709,22938.96875,12.4853960602,20055.2238369,-7489.94921846,-2683.60156406,0.0,-7489.94921846
332675.60302,-1030391.29075,590.0,-686.859917839,23312.734375,87.8240877733,45491.1174837,-18669.9746087,-2695.2463707,,
332274.975618,-1030390.22206,590.0,-691.383873499,23713.3632813,4.20315772795,18098.6166333,-4975.13720682,-2707.38966997,0.0,-4975.13720682
332216.620613,-1030389.98944,590.0,-692.017459441,23771.71875,14.6847259164,18098.6166333,-8788.66113247,-2709.1423591,0.0,-8788.66113247
331902.009366,-1030388.8688,590.0,-695.4324182,24086.3320313,61.9190881888,46469.4210855,-16061.6777338,-2718.53680467,,
331869.515308,-1030388.7955,590.0,-695.784945205,24118.8261719,29.6344194165,28859.9562531,-12187.7509761,-2719.50180597,,
331765.08778,-1030388.58964,590.0,-696.917748491,24223.2539063,6.449461807,15163.7058279,-5658.69824196,-2722.59571155,0.0,-5658.69824196
331491.289222,-1030388.21343,590.0,-699.868765943,24497.0527344,41.1538151442,48426.0282891,-12766.0791011,-2730.65100866,,
331381.953744,-1030387.90624,590.0,-700.823994219,24606.3886719,87.1465048624,33751.4742621,-17551.27539,-2733.84123845,,
331335.713844,-1030387.73134,590.0,-701.228054595,24652.6289063,1.7251806531,10272.1878189,-3464.0898436,-2735.1855056,0.0,-3464.0898436
331256.146125,-1030387.41224,590.0,-701.923314049,24732.1972656,1.4364995896,11250.4914207,-2461.90356433,-2737.49207962,0.0,-2461.90356433
331110.814863,-1030386.94672,590.0,-703.192696039,24877.5292969,2.10337240774,12228.7950225,-2933.16235338,-2741.68474483,0.0,-2933.16235338
331017.260364,-1030386.76164,590.0,-704.00946849,24971.0839844,21.7800536115,29838.2598549,-10578.8593746,-2744.36969355,,
330917.039855,-1030386.5644,590.0,-704.884359597,25071.3046875,32.8708170559,31794.8670585,-12196.4404292,-2747.23235291,,
330871.920846,-1030386.45616,590.0,-705.278240417,25116.4238281,45.8051159505,20055.2238369,-17088.9218744,-2748.51621716,0.0,-17088.9218744
330499.687605,-1030385.54019,590.0,-708.525832869,25488.6582031,2.11690840329,15163.7058279,-3610.81494125,-2758.99119481,0.0,-3610.81494125
330281.463512,-1030385.06579,590.0,-709.581984121,25706.8828125,4.30268914679,16142.0094297,-5096.52636698,-2765.0306214,0.0,-5096.52636698
330258.676465,-1030385.01274,590.0,-709.692258433,25729.6699219,71.8777657718,33751.4742621,-16776.7871088,-2765.65664313,,
330108.39369,-1030384.65393,590.0,-710.419472753,25879.953125,0.673878613062,6358.9734117,-1748.43798819,-2769.76284887,,
330021.872442,-1030384.45178,590.0,-710.838095842,25966.4746094,38.134028759,47447.7246873,-12295.1601558,-2772.10895326,,
329937.573854,-1030384.25035,590.0,-711.245933006,26050.7734375,46.8689759787,28859.9562531,-16655.6796869,-2774.38179822,,
329792.226596,-1030383.91078,590.0,-711.949042587,26196.1210938,3.68503631244,14185.4022261,-4747.55566386,-2778.27000552,0.0,-4747.55566386
329792.0723,-1030383.91048,590.0,-711.949788922,26196.2753906,5.25516374366,16142.0094297,-6368.25390599,-2778.27411275,0.0,-6368.25390599
329750.316521,-1030383.82859,590.0,-712.151758856,26238.03125,27.3660709833,49404.3318909,-9753.65136681,-2779.3839535,,
329674.7737,-1030383.67908,590.0,-712.517137299,26313.5742188,8.29353337212,17120.3130315,-7631.58886689,-2781.38335237,0.0,-7631.58886689
329579.699767,-1030383.44954,590.0,-712.976951284,26408.6484375,77.2820214446,43534.5102801,-18643.3847649,-2783.88352077,,
329560.041643,-1030383.39356,590.0,-713.072020176,26428.3066406,0.36388791845,7337.2770135,-1510.7998046,-2784.39816705,,
329019.426478,-1030381.40892,590.0,-714.303616678,26968.9257813,77.8782811071,28859.9562531,-17521.322265,-2798.23590154,,
328996.192158,-1030381.35849,590.0,-714.349124779,26992.1601563,1.37196785907,13207.0986243,-2756.13818346,-2798.81703858,0.0,-2756.13818346
328907.118313,-1030381.10143,590.0,-714.523587107,27081.234375,0.271063164949,8315.5806153,-714.523587107,-2801.03318824,,
328789.892636,-1030380.64762,590.0,-714.753183114,27198.4609375,2.72510571648,17120.3130315,-4407.04540997,-2803.9213473,0.0,-4407.04540997
328653.444712,-1030380.0534,590.0,-715.020424643,27334.9101563,27.0070297565,48426.0282891,-9619.65527307,-2807.24271295,,
328546.316616,-1030379.63763,590.0,-715.230244033,27442.0390625,53.3046712659,45491.1174837,-15670.2499994,-2809.82040127,,
328543.765852,-1030379.62819,590.0,-715.235239942,27444.5898438,1.1045856797,9293.8842171,-2669.41162097,-2809.88145022,,
327504.936834,-1030377.16449,590.0,-717.280398304,28483.421875,22.7371145374,49404.3318909,-8255.9238278,-2833.39361352,,
327423.99371,-1030376.96932,590.0,-717.430440573,28564.3652344,3.62786915053,16142.0094297,-6137.18847632,-2835.10625119,0.0,-6137.18847632
327346.601367,-1030376.7786,590.0,-717.573290922,28641.7578125,44.4568448176,44512.8138819,-14222.2021479,-2836.73036925,,
327119.020056,-1030376.20638,590.0,-717.993183519,28869.3398438,7.90095638351,10272.1878189,-8502.52246061,-2841.43072087,0.0,-8502.52246061
326996.955881,-1030375.9464,590.0,-718.218313128,28991.4042969,10.8206778323,14185.4022261,-8857.84863247,-2843.90598077,0.0,-8857.84863247
326859.721682,-1030375.72883,590.0,-718.471397051,29128.6386719,0.0969288728727,3424.0626063,-718.471397051,-2846.65114776,,
326504.13237,-1030375.12461,590.0,-719.1268465,29484.2285156,61.4257626132,42556.2066783,-17221.5703119,-2853.57440611,,
326304.048903,-1030374.67071,590.0,-719.519885704,29684.3125,38.117641925,46469.4210855,-13158.4003901,-2857.34894027,,
326142.594506,-1030374.20284,590.0,-719.837353478,29845.7675781,34.5166403458,45491.1174837,-12152.5664058,-2860.33090449,,
326132.576977,-1030374.1717,590.0,-719.85704876,29855.7851563,0.116628340654,5380.6698099,-899.451904231,-2860.51405598,,
325856.636559,-1030373.43981,590.0,-720.399701463,30131.7265625,2.59916258,12228.7950225,-4561.79736309,-2865.47596806,0.0,-4561.79736309
325383.153071,-1030372.57773,590.0,-721.331244529,30605.2109375,63.7409400715,34729.7778639,-16315.2851556,-2873.61544945,,
325073.255184,-1030372.02379,590.0,-721.940954671,30915.109375,0.147401618086,7337.2770135,-721.940954671,-2878.6847122,,
325040.895918,-1030371.93973,590.0,-722.004592781,30947.46875,29.981398055,47447.7246873,-11246.6123043,-2879.20201247,,
324979.505521,-1030371.77246,590.0,-722.125315739,31008.859375,28.2988529632,46469.4210855,-10674.9960933,-2880.17723246,,
324703.78158,-1030371.1703,590.0,-722.667676792,31284.5839844,53.3969703267,40599.5994747,-15594.7656244,-2884.46065113,,
324696.832372,-1030371.1577,590.0,-722.681348869,31291.5332031,26.8234830854,48426.0282891,-10301.7080074,-2884.566563,,
324512.54351,-1030370.88713,590.0,-723.043990665,31475.8222656,23.8728326822,49404.3318909,-9324.30956995,-2887.33884548,,
324496.463447,-1030370.86538,590.0,-723.082231688,31491.9023438,32.1319715734,44512.8138819,-11764.0566402,-2887.57736853,,
324088.59715,-1030370.0243,590.0,-724.64503972,31899.7695313,26.0756192336,47447.7246873,-10379.4697262,-2893.44271613,,
323909.597732,-1030369.568,590.0,-725.330547466,32078.7695313,27.0185250603,45491.1174837,-10488.624023,-2895.90584288,,
323586.528317,-1030368.80705,590.0,-726.567504349,32401.8398438,19.1620667442,23968.4382441,-9609.02539026,-2900.18282677,0.0,-9609.02539026
323463.677187,-1030368.48106,590.0,-727.07842121,32524.6914063,43.7125924695,41577.9030765,-13839.101562,-2901.75177696,,
323446.081544,-1030368.43537,590.0,-727.165501502,32542.2871094,40.3536613748,43534.5102801,-14047.5468745,-2901.97393628,,
323386.722367,-1030368.28209,590.0,-727.459269972,32601.6464844,75.2716814895,38642.9922711,-18861.6074212,-2902.71866028,,
323277.703118,-1030368.03396,590.0,-727.998874238,32710.6660156,15.1540593051,22990.1346423,-9084.44238246,-2904.06773201,0.0,-9084.44238246
323271.798834,-1030368.02146,590.0,-728.028100136,32716.5703125,36.1580957526,43534.5102801,-12649.2236323,-2904.14010168,,
323204.127111,-1030367.87799,590.0,-728.363071257,32784.2421875,15.2116771258,22011.8310405,-9379.50292933,-2904.96440263,0.0,-9379.50292933
323119.201538,-1030367.68995,590.0,-728.783431715,32869.1679688,21.2291434627,19076.9202351,-10811.6982418,-2905.98536678,0.0,-10811.6982418
323102.951591,-1030367.64862,590.0,-728.863854005,32885.4179688,24.6941796193,48426.0282891,-10139.0117184,-2906.17896364,,
322977.76067,-1030367.30042,590.0,-729.48337326,33010.609375,45.0733355498,38642.9922711,-14200.2832026,-2907.65183093,,
322763.777095,-1030366.71738,590.0,-730.542316511,33224.59375,41.9935749314,42556.2066783,-13734.4101557,-2910.09455388,,
322593.003958,-1030366.39978,590.0,-731.38772507,33395.3671875,25.431641177,25925.0454477,-11109.5478511,-2911.97787035,0.0,-11109.5478511
322551.464944,-1030366.33598,590.0,-731.593390489,33436.90625,54.9563253262,31794.8670585,-16212.8925775,-2912.42703957,,
322547.507917,-1030366.33034,590.0,-731.612983166,33440.8632813,25.0667961932,47447.7246873,-10137.599609,-2912.46964717,,
322540.246206,-1030366.31999,590.0,-731.648938532,33448.125,22.7652127836,22990.1346423,-10534.0351559,-2912.5477545,0.0,-10534.0351559
322481.406422,-1030366.23609,590.0,-731.958869229,33506.9648438,33.7045569778,24946.7418459,-12872.9697261,-2913.17649352,0.0,-12872.9697261
322464.320501,-1030366.21264,590.0,-732.060555623,33524.0507813,29.437677666,46469.4210855,-11756.3408199,-2913.35738924,,
322268.519907,-1030365.94188,590.0,-733.225853313,33719.8515625,14.1907011055,21033.5274387,-8372.65624968,-2915.37051346,0.0,-8372.65624968
322254.902736,-1030365.92074,590.0,-733.306890542,33733.46875,16.5095586402,22011.8310405,-9271.60351527,-2915.5064516,0.0,-9271.60351527
322238.383225,-1030365.89509,590.0,-733.405199907,33749.9882813,24.2983999668,46469.4210855,-9520.66210901,-2915.67066685,,
322222.320744,-1030365.87016,590.0,-733.500789435,33766.0507813,44.709030837,39621.2958729,-14262.313476,-2915.82960873,,
322161.430211,-1030365.76445,590.0,-733.863132715,33826.9414063,60.0080209459,25925.0454477,-16844.5781244,-2916.4255177,0.0,-16844.5781244
322086.809258,-1030365.62006,590.0,-734.307151811,33901.5625,24.2108178871,21033.5274387,-11858.8398433,-2917.14174418,0.0,-11858.8398433
322060.699943,-1030365.56388,590.0,-734.46249927,33927.671875,21.5961245948,24946.7418459,-10656.3798824,-2917.38870759,0.0,-10656.3798824
321948.274455,-1030365.30746,590.0,-735.131388641,34040.0976563,8.1483610049,21033.5274387,-6640.47363255,-2918.4310419,0.0,-6640.47363255
321913.598773,-1030365.2244,590.0,-735.337687831,34074.7734375,59.1063876652,32773.1706603,-16359.7695306,-2918.74570968,,
321824.606854,-1030365.00602,590.0,-735.867124986,34163.765625,41.2106599618,43534.5102801,-14059.9960932,-2919.53880593,,
321742.411779,-1030364.80831,590.0,-736.356134053,34245.9609375,40.9216066827,42556.2066783,-13935.000976,-2920.25317739,,
321728.939162,-1030364.77597,590.0,-736.436287787,34259.4335938,16.7703723714,3424.0626063,-3878.65234358,-2920.36862404,0.0,-3878.65234358
321693.001765,-1030364.68969,590.0,-736.650093079,34295.3710938,18.5872371374,48426.0282891,-7275.17285128,-2920.67432176,,
321652.673757,-1030364.59287,590.0,-736.890019812,34335.6992188,42.0436497382,29838.2598549,-13971.1152339,-2921.01349443,,
321585.71298,-1030364.44589,590.0,-737.28842315,34402.6601563,9.30619129748,17120.3130315,-7073.85790988,-2921.56783503,0.0,-7073.85790988
321502.056881,-1030364.28783,590.0,-737.786212457,34486.3164063,20.6662226748,49404.3318909,-8497.80273405,-2922.24512615,,
321482.306912,-1030364.25328,590.0,-737.936724122,34506.0664063,6.80431281689,13207.0986243,-5917.40966773,-2922.4025652,0.0,-5917.40966773
321464.77178,-1030364.22415,590.0,-738.07376359,34523.6015625,34.8824370377,44512.8138819,-12843.4628901,-2922.54157433,,
321440.685861,-1030364.19455,590.0,-738.262018494,34547.6875,49.7262737927,33751.4742621,-15288.5361322,-2922.7314134,,
321394.006208,-1030364.13716,590.0,-738.62686136,34594.3671875,45.2663078713,26903.3490495,-15138.2714838,-2923.09538048,,
321345.724987,-1030364.08468,590.0,-739.004231326,34642.6484375,50.774582329,30816.5634567,-15327.8203119,-2923.46646674,,
321324.82656,-1030364.06365,590.0,-739.167577296,34663.546875,32.4847955282,45491.1174837,-12446.5917964,-2923.62540673,,
320956.97134,-1030363.64041,590.0,-742.04252123,35031.4023438,49.5174673759,37664.6886693,-14820.3779291,-2926.25947154,,
320899.010464,-1030363.55596,590.0,-742.495434769,35089.3632813,14.6279964259,49404.3318909,-4300.0341795,-2926.6470974,,
320856.108169,-1030363.49144,590.0,-742.830666993,35132.265625,53.0254342947,27881.6526513,-16397.9589838,-2926.92938909,,
320850.963644,-1030363.4837,590.0,-742.870865187,35137.4101563,8.73361628294,18098.6166333,-7219.82812472,-2926.96297843,0.0,-7219.82812472
320842.115997,-1030363.47039,590.0,-742.939998569,35146.2578125,30.97261034,24946.7418459,-12411.9580073,-2927.02061585,0.0,-12411.9580073
320769.534052,-1030363.35878,590.0,-743.507120792,35218.8398438,48.9991064749,35708.0814657,-14805.0986323,-2927.48725181,,
320757.604379,-1030363.34035,590.0,-743.60033203,35230.7695313,11.2965484997,19076.9202351,-7656.4296872,-2927.56290315,0.0,-7656.4296872
320689.545865,-1030363.23566,590.0,-744.132092928,35298.828125,64.4864267309,19076.9202351,-16589.5273431,-2927.988924,0.0,-16589.5273431
320562.55771,-1030363.05745,590.0,-745.124301095,35425.8164063,20.8827445765,47447.7246873,-8238.93456999,-2928.75905668,,
320516.292109,-1030363.01026,590.0,-745.485834662,35472.0820313,0.321784478639,6358.9734117,-745.485834662,-2929.03190164,,
320152.690588,-1030362.87152,590.0,-749.022361863,35835.6835938,15.7973485163,20055.2238369,-9206.71777308,-2931.03792818,0.0,-9206.71777308
320130.186682,-1030362.86831,590.0,-749.243275059,35858.1875,0.317359062006,1467.4554027,-749.243275059,-2931.15425307,,
320026.421058,-1030362.85473,590.0,-750.261909441,35961.953125,42.7255257252,32773.1706603,-14445.7246088,-2931.67928131,,
319945.155435,-1030362.8389,590.0,-751.059647788,36043.21875,55.8581664035,26903.3490495,-16224.2402338,-2932.07763856,,
319851.788251,-1030362.81326,590.0,-751.976149662,36136.5859375,38.6558515502,27881.6526513,-13470.7470698,-2932.52176656,,
319843.921064,-1030362.81089,590.0,-752.053373792,36144.453125,0.289888750935,2445.7590045,-752.053373792,-2932.55854072,,
