x,y,Line,bedmap2_bed,Distance,Susc,Window_Width,Depth,data/results/rosetta_lindeque_basement_g80kfilt.nc,Distance_36k,Depth_36k
376529.876456,-1089869.2511,650.0,-207.604204261,553.76751709,1.21395691339,2296.64074875,-863.871826107,-1278.0208194,0.0,-863.871826107
375915.606935,-1089896.25613,650.0,-212.217463666,1168.63049316,0.854114630953,4133.95334775,-619.363281194,-1277.43027078,,
375540.97934,-1089913.3408,650.0,-215.025524652,1543.64746094,3.24907582495,3215.29704825,-1623.80346671,-1277.16613482,0.0,-1623.80346671
375341.50177,-1089922.45476,650.0,-215.910161308,1743.33312988,1.16377184461,2296.64074875,-993.072265556,-1277.05074826,,
374548.900205,-1089954.59916,650.0,-218.879602988,2536.59057617,0.311843395447,1377.98444925,-491.42236323,-1276.7068519,,
374029.519314,-1089968.75871,650.0,-223.673521679,3056.16967773,0.881755789731,4133.95334775,-1207.90039055,-1276.53624898,,
373852.76689,-1089971.78846,650.0,-225.355671353,3232.94824219,0.198006614423,6889.92224625,-343.473144485,-1276.48126263,,
373798.953439,-1089972.56763,650.0,-225.863522218,3286.76733398,4.15127249397,3215.29704825,-2600.71777331,-1276.46525885,0.0,-2600.71777331
371241.72691,-1090018.02633,650.0,-289.991117334,5844.43261719,0.293168721688,1377.98444925,-289.991117334,-1276.93393448,,
370315.610164,-1090044.25485,650.0,-313.220511108,6770.921875,0.623350160523,1377.98444925,-423.588256787,-1277.72462392,,
369388.233582,-1090081.16303,650.0,-335.924092286,7699.03613281,1.36399730384,16995.1415407,-2194.79956044,-1279.1166394,0.0,-2194.79956044
369262.718393,-1090086.2348,650.0,-338.771153953,7824.65380859,0.966546837337,1377.98444925,-555.234619087,-1279.35176386,,
369128.133087,-1090091.20586,650.0,-341.819462149,7959.33105469,0.477995386917,2296.64074875,-341.819462149,-1279.61203705,,
368951.55398,-1090096.91064,650.0,-345.811646361,8136.00244141,0.805408034453,8727.23484525,-1114.49316399,-1279.96620103,,
368708.036634,-1090104.54595,650.0,-351.31247008,8379.63964844,0.827428297211,5052.60964725,-905.977661067,-1280.49533049,,
368621.550517,-1090107.57095,650.0,-353.267121049,8466.17871094,0.68628484488,1377.98444925,-528.202758736,-1280.69954684,,
368380.426196,-1090116.53727,650.0,-358.597056801,8707.46972656,0.622993399863,7808.57854575,-798.586303649,-1281.31174398,,
367644.557674,-1090140.02779,650.0,-374.444276029,9443.71777344,0.48581110127,8727.23484525,-374.444276029,-1283.49661803,,
367597.921188,-1090141.28096,650.0,-375.446254588,9490.37109375,2.70592272047,10564.5474442,-2712.82568347,-1283.65212643,0.0,-2712.82568347
367406.197175,-1090146.34989,650.0,-379.469985957,9682.16210938,1.10072533975,9645.89114475,-1819.00830068,-1284.31416863,,
367113.617875,-1090153.82525,650.0,-385.456011965,9974.83691406,0.777602976166,10564.5474442,-788.796752868,-1285.36534028,,
367105.863449,-1090154.01858,650.0,-385.614582287,9982.59375,9.04806749231,9645.89114475,-5027.19335917,-1285.39382026,0.0,-5027.19335917
366875.771992,-1090159.56035,650.0,-390.317514387,10212.7519531,1.1073985953,9645.89114475,-1201.02172844,-1286.25328053,,
366808.13238,-1090161.14634,650.0,-391.699358696,10280.4101563,0.350971448757,7808.57854575,-391.699358696,-1286.51173304,,
366789.223413,-1090161.58534,650.0,-392.085602701,10299.3242188,0.967596794219,15157.8289418,-1018.15222161,-1286.5844597,,
