Line,ANTOSTRAT_basement,bedmap2_bed,Distance,Mag_anom_draped_1000,Susc,Window_Width,x,y,Z_Dikes,Depth
404.59,,-620.898491052531,0.0,17.7119717190817,,,335937.850318888,-1035932.81051195,,
404.59,,-623.087003279151,119.236219998881,17.1438034148564,,,335818.635835041,-1035935.08671342,,
404.59,,-625.276655194334,238.472439997761,16.5750042570868,,,335699.417033693,-1035937.12452524,,
404.59,,-627.467067729354,357.708659996642,16.0052285026566,,,335580.196295799,-1035939.04581697,,
404.59,,-629.580059520518,476.944879995523,15.4340989309293,,,335460.974343653,-1035940.88999407,,
404.59,,-631.533329086336,596.181099994403,14.8612103472245,,,335341.750730104,-1035942.6232201,,
404.59,,-633.487253640865,715.417319993284,14.2867318409028,,,335222.52535839,-1035944.23081281,,
404.59,,-635.441818230378,834.653539992165,13.7112121733657,,,335103.298149423,-1035945.69455276,,
404.59,,-637.397114448096,953.889759991045,13.1352661871196,,,334984.068367925,-1035946.92442719,,
404.59,,-639.353287057406,1073.12597998993,12.5593182144819,,,334864.835275336,-1035947.75851984,,
404.59,,-641.310349998452,1192.36219998881,11.9838394242598,,,334745.599747049,-1035948.05717839,,
404.59,,-643.268150461074,1311.59841998769,11.4095347616358,,,334626.364278163,-1035947.74776146,,
404.59,,-645.226432493983,1430.83463998657,10.8371808940129,,,334507.132074472,-1035946.81572445,,
404.59,,-647.084226014015,1550.07085998545,10.2673015375605,,,334387.906456124,-1035945.25463682,,
404.59,,-648.936568884431,1669.30707998433,9.69973294159875,,,334268.690830953,-1035943.060168,,
404.59,,-650.790058835718,1788.54329998321,9.13375577868542,,,334149.488357479,-1035940.23914513,,
404.59,,-652.644807886742,1907.77951998209,8.56855205355559,,,334030.300467193,-1035936.85383723,,
404.59,,-654.500871680754,2027.01573998097,8.00380806438579,,,333911.126608027,-1035933.00332552,,
404.59,,-656.358294060987,2146.25195997985,7.44002506511989,,,333791.965644931,-1035928.77096107,,
404.59,,-658.21714447188,2265.48817997873,6.8779417211459,,,333672.817323115,-1035924.1961494,,
404.59,,-660.077402898405,2384.72439997761,6.31722366216809,,,333553.678499083,-1035919.37856486,,
404.59,,-661.834240372864,2503.96061997649,5.75641041263591,,,333434.542556606,-1035914.48946142,,
404.59,,-663.505373692835,2623.19683997538,5.19436320489146,,,333315.402811078,-1035909.69429546,,
404.59,,-665.176308694392,2742.43305997426,4.63154939851394,,,333196.257512982,-1035905.03911106,,
404.59,,-666.847125476171,2861.66927997314,4.06928745417133,,,333077.108996347,-1035900.46675026,,
404.59,,-668.51785367237,2980.90549997202,3.50833419073738,,,332957.958129441,-1035895.95603218,,
404.59,,-670.18836021275,3100.1417199709,2.9483860727464,,,332838.801594278,-1035891.59794722,,
404.59,,-671.858412698205,3219.37793996978,2.38810231873904,,,332719.634260685,-1035887.54670043,,
404.59,,-673.527828386747,3338.61415996866,1.82550560067588,,,332600.453447615,-1035883.91396898,,
404.59,,-675.177717207968,3457.85037996754,1.2587555613527,,,332481.258474349,-1035880.77992284,,
404.59,,-676.726203442988,3577.08659996642,0.687604548770942,,,332362.049831105,-1035878.21724678,,
404.59,,-678.273790532176,3696.3228199653,0.113380315536256,,,332242.831077838,-1035876.17718143,,
404.59,,-679.820776628628,3815.55903996418,-0.462003009765641,,,332123.60698268,-1035874.47713444,,
404.59,,-681.367502383011,3934.79525996306,-1.03744002565579,,,332004.380902086,-1035872.92223145,,
404.59,,-682.914138083467,4054.03147996194,-1.61289556364032,,,331885.154183512,-1035871.41722808,,
404.59,,-684.46059859191,4173.26769996082,-2.18790688682451,,,331765.926291199,-1035870.00883416,,
404.59,,-686.006793287014,4292.5039199597,-2.76149628611221,,,331646.696767709,-1035868.74602549,,
404.59,,-687.552746871597,4411.74013995859,-3.33304036571013,,,331527.465926583,-1035867.61420744,,
404.59,,-688.94860336415,4530.97635995747,-3.90221960452241,,,331408.234098611,-1035866.59153824,,
404.59,,-690.299199298021,4650.21257995635,-4.46865340172446,,,331289.001397722,-1035865.67711256,,
404.59,,-691.649345659999,4769.44879995523,-5.03191959635479,,,331169.767664415,-1035864.91089419,,
404.59,,-692.999022188193,4888.68501995411,-5.59224883806256,,,331050.532844788,-1035864.34143238,,
404.59,,-694.348236292859,5007.92123995299,-6.15061600738765,,,330931.297136079,-1035864.01203,,
404.59,,-695.697021967426,5127.15745995187,-6.70798861936746,,,330812.061004318,-1035863.95899989,,
404.59,,-697.045431793481,5246.39367995075,-7.26449777560599,,,330692.825149497,-1035864.21529124,,
404.59,,-698.39358225228,5365.62989994963,-7.81966744151347,,,330573.590260102,-1035864.76785917,,
404.59,,-699.679332773249,5484.86611994851,-8.37325656009657,,,330454.35649111,-1035865.52920674,,
404.59,,-700.864539296767,5604.10233994739,-8.92601087751877,,,330335.123449424,-1035866.39966066,,
404.59,,-702.049700864599,5723.33855994627,-9.47939002406641,,,330215.890731456,-1035867.31305781,,
404.59,,-703.234754602447,5842.57477994515,-10.0342443927674,,,330096.658865566,-1035868.32871721,,
404.59,,-704.419576914679,5961.81099994403,-10.5895860302415,,,329977.429095838,-1035869.56113898,,
404.59,,-705.604107483847,6081.04721994292,-11.142949076648,,,329858.202386027,-1035871.06254136,,
404.59,,-706.78844973916,6200.2834399418,-11.6916013404756,,,329738.97790089,-1035872.73498543,,
404.59,,-707.972810709687,6319.51965994068,-12.2336713225407,,,329619.753192222,-1035874.39040148,,
404.59,,-709.157411936279,6438.75587993956,-12.7683001588625,,,329500.52572925,-1035875.8266371,,
404.59,,-710.03183464355,6557.99209993844,-13.2949954032087,,,329381.29444031,-1035876.88971479,,
404.59,,-710.905515209544,6677.22831993732,-13.8128689722266,,,329262.059923905,-1035877.46632593,,
