Distance,Distance_36k,Line,ANTOSTRAT_basement,bedmap2_bed,Susc,Window_Width,x,y,Depth,Depth_filtered,Depth_36k,binned,counts,oib_basement,oib_basement_filt,filt_clip,misfit,abs_misfit
33000.0,27000.0,403.1,-2988.69211630493,-675.3404098661499,2.196961446981015,5965.86718525,-397998.7036990075,-1356399.68640137,-3468.231567227908,-3468.231567227908,-3545.7890905124814,0.0,30.75,-3535.644183425044,-3585.110527013135,-3585.110527013135,596.4184107082051,596.4184107082051
38000.0,36000.0,403.1,-3144.74671415596,-668.198887719373,8.49159606008008,5651.8741755,-392648.949013029,-1357536.015667085,-6402.940185290246,-6402.940185290246,-3524.027535149654,0.0,30.0,-3482.0195788673627,-3525.307547552931,-3525.307547552931,380.5608333969708,380.5608333969708
43000.0,36000.0,403.1,-3236.7010012253336,-653.9551746772777,1.4918216707415166,7745.160907166666,-387711.3486906327,-1358556.1326097334,-4397.836588354533,-4397.836588354533,-3470.8326220405206,0.0,30.0,-3440.751724114727,-3477.861317897772,-3477.861317897772,241.1603166724385,241.1603166724385
48000.0,36000.0,403.1,-3265.5416418976365,-649.3864125315283,1.5007984074796135,7326.503560833334,-385267.68526683334,-1359007.8109790867,-4061.0789386266265,-4061.0789386266265,-3461.160819657042,0.0,30.0,-3411.840619167137,-3442.7718380476595,-3442.7718380476595,177.23019615002295,177.23019615002295
53000.0,36000.0,403.1,-3309.656059404135,-630.881530471875,12.607121348615355,5023.888156,-380197.66807609354,-1360170.72460767,-5690.89062476804,-5690.89062476804,-3436.981313698345,0.0,30.0,-3395.286264024593,-3420.039108002593,-3420.039108002593,110.38304859845812,110.38304859845812
58000.0,36000.0,403.1,-3330.1619880457247,-593.251041866396,7.171439924934861,6279.860195,-373438.226199668,-1361553.42777817,-4231.8916013811195,-4231.8916013811195,-3407.9044879656785,0.0,30.0,-3391.0886586870947,-3409.6631277625715,-3409.6631277625715,79.50113971684686,79.50113971684686
63000.0,36000.0,403.1,-3331.085392231725,-565.8833398767495,2.3526199134294252,6279.860194999999,-368083.6763260305,-1362675.48750334,-3862.5485838158047,-3862.5485838158047,-3517.6962539123906,0.0,30.0,-3399.2478031546434,-3411.5975916706925,-3411.5975916706925,80.5121994389674,80.5121994389674
68000.0,36000.0,403.1,-3312.5381487829,-539.5086795306585,1.394853467716805,6907.846214499999,-363586.84706722246,-1364776.639604965,-4089.896972479795,-4089.896972479795,-3523.4747679095863,0.0,30.0,-3419.763697427237,-3424.268107392207,-3424.268107392207,111.72995860930723,111.72995860930723
73000.0,72000.0,403.1,-3292.464092655935,-514.0482995143785,1.38949043409131,5651.8741755,-359118.673263826,-1367230.296182325,-3566.735107263555,-3566.735107263555,-3546.588823898368,0.0,16.0,-3452.358507563451,-3445.359392081899,-3445.359392081899,152.8952994259639,152.8952994259639
78000.0,72000.0,403.1,-3286.6036775948623,-499.4940260809795,1.5586061405882976,5651.8741755,-354921.47512001824,-1369177.059285935,-3814.2711179971625,-3814.2711179971625,-3550.922709396264,0.0,16.0,-3487.863713496224,-3472.5561628945493,-3472.5561628945493,185.95248529968694,185.95248529968694
