Line,ANTOSTRAT_basement,bedmap2_bed,Distance,Susc,Window_Width,x,y,Depth,Distance_36k,Depth_36k
404.59,,-681.486846231059,3943.99584960938,0.0047141913122257,2980.9055,331995.181054107,-1035872.80541104,-681.486846231059,,
404.59,,-720.325902701388,8329.744140625,25.0365621758672,16096.8897,327610.057148525,-1035842.62848363,-14300.3652338446,,
404.59,,-720.574395813913,8387.8154296875,7.63305444195657,11327.4409,327552.009171692,-1035840.98318765,-9273.6181637063,,
404.59,,-720.918197070273,8481.02734375,13.0416207049836,13712.1653,327458.824603421,-1035838.73336082,-11296.8203120737,,
404.59,,-740.946075920055,13139.4169921875,0.929104253959565,2980.9055,322801.301401316,-1035898.95265026,-4211.90771466307,,
404.59,,-884.299145073927,22673.345703125,74.5220369120335,24443.4251,313269.340410162,-1035836.88580541,-15556.898436926,,
404.59,,-907.307680281354,23861.5859375,25.0660983881855,14904.5275,312081.151916308,-1035841.00409604,-10551.7558589745,,
404.59,,-907.793559851579,23886.13671875,49.0398755330183,32789.9605,312056.602546111,-1035840.74087951,-13535.5976557461,,
404.59,,-910.404740852165,24018.0625,53.6241377039464,49483.0313,311924.684162647,-1035839.34381292,-15047.2871088187,,
404.59,,-913.943793174961,24196.759765625,58.2717611419352,48290.6691,311745.995492331,-1035837.59153887,-15678.220702546801,,
404.59,,-914.843138556093,24242.1640625,48.0302194636066,49483.0313,311700.59329849,-1035837.15453871,-14183.5400385361,,
404.59,,-915.356484363017,24268.08203125,51.6883427451884,48290.6691,311674.676545914,-1035836.90349374,-14744.4892572667,,
404.59,,-917.431476888857,24372.876953125,56.1085505194356,47098.3069,311569.886952495,-1035835.84672419,-15355.136718183,,
404.59,,-919.278229332164,24466.544921875,103.422249296169,24443.4251,311476.223718745,-1035834.90491082,-18237.4374993331,,
404.59,,-919.639196820099,24485.087890625,64.1137531075586,47098.3069,311457.681686758,-1035834.71852455,-16399.0585931468,,
404.59,,-920.806538556341,24545.013671875,61.4955341707964,45905.9447,311397.758462589,-1035834.16562487,-16042.2363275342,,
404.59,,-921.450974578837,24578.087890625,49.5563394194834,47098.3069,311364.685573887,-1035833.86901254,-14427.0947260277,,
404.59,,-921.936997515437,24603.03125,46.3042114621578,48290.6691,311339.743217586,-1035833.64531843,-13920.2148432328,,
404.59,,-922.219458737956,24617.525390625,53.537508849339,45905.9447,311325.249640311,-1035833.51779065,-14990.7695306956,,
404.59,,-922.968519774234,24655.90625,43.5091745007326,49483.0313,311286.869699881,-1035833.25219904,-13452.056640124,,
404.59,,-923.297600772737,24672.767578125,43.8738660498197,35174.6849,311270.008775463,-1035833.13552037,-13276.2812495051,,
404.59,,-923.510802229108,24683.69140625,58.2020406987273,44713.5825,311259.085208885,-1035833.0599286,-15611.4140619241,,
404.59,,-925.570578835901,24789.1171875,0.173654353823326,1788.5433,311153.661152548,-1035832.47153409,-1698.9179686564298,,
404.59,,-926.024295294686,24812.318359375,60.9872199081315,25635.7873,311130.460205852,-1035832.36931481,-15275.6474603733,,
404.59,,-926.215156309579,24822.078125,68.3544839394788,44713.5825,311120.70053495,-1035832.32631542,-16839.7382806315,,
404.59,,-926.90606089165,24857.39453125,64.4776667380102,43521.2203,311085.384413819,-1035832.18799748,-16373.8964837727,,
404.59,,-927.017733301454,24863.095703125,48.1310854640346,33982.3227,311079.683256589,-1035832.17507497,-13852.0927729226,,
404.59,,-927.271033959547,24876.02734375,71.2987042921352,45905.9447,311066.751649184,-1035832.14576358,-17205.2988274939,,
404.59,,-927.507540409285,24888.1015625,54.6100898928201,43521.2203,311054.67746145,-1035832.11839566,-15146.1396478778,,
404.59,,-927.945740940282,24910.47265625,50.7869367292843,44713.5825,311032.306425168,-1035832.06768842,-14611.6015619588,,
404.59,,-928.310833268728,24929.111328125,47.4002741237096,45905.9447,311013.667801172,-1035832.02544124,-14116.3886713509,,
404.59,,-928.812201756319,24954.70703125,9.2439742175538,12519.8031,310988.072163799,-1035831.96742497,-7430.54687470773,,
404.59,,-929.191536587261,24974.0625,60.1519122804129,42328.8581,310968.716724522,-1035831.93719942,-15852.749999415799,,
404.59,,-929.459040969955,24987.703125,44.6011417705264,47098.3069,310955.076102872,-1035831.92763915,-13672.0712885539,,
404.59,,-931.239460882578,25078.490234375,42.2531981099458,48290.6691,310864.289015795,-1035831.86400939,-13272.5976557552,,
404.59,,-932.845314945523,25160.31640625,50.9062217026951,42328.8581,310782.462848603,-1035831.88753534,-14670.4033197692,,
404.59,,-933.237290687053,25180.2890625,40.3355957457317,49483.0313,310762.490193374,-1035831.89392045,-12934.8779292044,,
404.59,,-933.304370413838,25183.70703125,55.523596865276,41136.4959,310759.072224799,-1035831.89501315,-15289.7128900603,,
404.59,,-934.485882343825,25243.89453125,73.1246316205403,42328.8581,310698.884739155,-1035831.93514221,-17281.8144524912,,
404.59,,-934.58036041574,25248.70703125,47.9711182271687,43521.2203,310694.072240546,-1035831.93880182,-14233.3974604094,,
404.59,,-934.696080668453,25254.6015625,35.326507680403,33982.3227,310688.177711001,-1035831.94328424,-12003.8867182992,,
404.59,,-935.113524361203,25275.865234375,68.004955629826,41136.4959,310666.914045274,-1035831.95945393,-16710.583983761,,
404.59,,-935.702093108591,25305.845703125,77.4704226279656,43521.2203,310636.933585192,-1035831.9822522,-17764.0097649745,,
404.59,,-935.981345830693,25320.0703125,45.2935428637284,44713.5825,310622.708979896,-1035831.99302504,-13825.0439447986,,
404.59,,-937.789710752978,25412.185546875,42.8919104693854,45905.9447,310530.593771788,-1035832.06258852,-13436.6894526245,,
404.59,,-937.919654255806,25418.8046875,62.3867860847232,39944.1337,310523.97463305,-1035832.06758715,-16072.7617181581,,
404.59,,-938.608307913635,25453.892578125,80.4434794777655,44713.5825,310488.886745922,-1035832.08178539,-18107.1308587126,,
404.59,,-938.70574339213,25458.857421875,4.41496299741517,10135.0787,310483.9219024,-1035832.08329088,-5587.83496070912,,
404.59,,-939.052631972652,25476.533203125,50.9497645664236,39944.1337,310466.246121963,-1035832.08865073,-14724.4374994549,,
404.59,,-939.49852725846,25499.25390625,47.1929937931148,41136.4959,310443.525419882,-1035832.09554034,-14196.1035150982,,
404.59,,-940.22365742551,25536.203125,41.0054330825335,47098.3069,310406.576202831,-1035832.10674449,-13111.9638666983,,
404.59,,-940.969854878906,25574.255859375,43.1812962017814,36367.0471,310368.523484751,-1035832.07592094,-13523.9882807465,,
404.59,,-941.114763611065,25581.646484375,2.96222155452016,7750.3543,310361.132863372,-1035832.06860466,-4740.95703105097,0.0,-4740.95703105097
404.59,,-941.137127970477,25582.787109375,47.1662235137226,35174.6849,310359.992238931,-1035832.06747551,-14004.6562494798,,
404.59,,-942.384174858571,25646.388671875,45.0576565304006,42328.8581,310296.390707595,-1035832.00451381,-13852.8105463601,,
404.59,,-942.505073424607,25652.5546875,39.6107278684206,48290.6691,310290.224694991,-1035831.99840983,-12874.9072260815,,
404.59,,-942.814753556466,25668.369140625,56.7767455835625,38751.7715,310274.41031193,-1035831.95397618,-15416.5234369309,,
404.59,,-942.881468472262,25671.77734375,7.96312603928283,18481.6141,310271.002127824,-1035831.94259023,-7310.766601274379,,
404.59,,-943.161671966781,25686.091796875,10.8965234445743,19673.9763,310256.687754578,-1035831.89476928,-8362.91503873791,,
404.59,,-943.597712467099,25708.3671875,37.2638831722616,49483.0313,310234.412488257,-1035831.82035285,-12459.8398432834,,
404.59,,-943.979886246878,25727.890625,4.84000034985759,14904.5275,310214.889159703,-1035831.75513,-5995.05810522625,,
404.59,,-944.780716040612,25768.80078125,6.9929745509475,16096.8897,310173.979231745,-1035831.61845955,-7019.17333956574,,
404.59,,-944.978319621714,25778.908203125,43.0982358945653,43521.2203,310163.871948384,-1035831.56622221,-13536.4374994961,,
404.59,,-945.32883603126,25796.841796875,5.97085480498527,17289.2519,310145.938630838,-1035831.46669035,-6440.36328099206,,
404.59,,-945.93104393302,25827.65234375,3.53955345823935,13712.1653,310115.128558492,-1035831.2956911,-5215.31542947203,,
404.59,,-946.444274635293,25853.91015625,46.5056265331994,38751.7715,310088.871150401,-1035831.14995964,-14165.1679682243,,
404.59,,-946.685278871562,25866.240234375,15.1345233293271,20866.3385,310076.541262178,-1035831.08152742,-9560.3603511964,,
404.59,,-947.286653119999,25897.015625,41.1604199937437,44713.5825,310045.766420917,-1035830.89827866,-13217.3837885696,,
404.59,,-947.34223715121,25899.861328125,45.5213742406032,29212.8739,310042.920779094,-1035830.87960011,-13698.6396479279,,
404.59,,-947.487282598488,25907.287109375,43.4989463112662,39944.1337,310035.495157808,-1035830.83085897,-13723.3798823021,,
