Line,_Plotflag,ANTOSTRAT_basement,ANTOSTRAT_basement_tracklines,bedmap2_bed,Calc_HGrad,Depth_sl,Depth_sl_cluster_750_5,Dike0_Cont1,Dip,Dist_Index,Distance,Elev_1000,FAG070,Mag_anom_draped_1000,Susc,Window_Width,x,y,Z_Both,Z_Contacts,Z_Dikes,Depth
404.65,,,,-758.073623273755,-0.0094508016481995,,,,,20390.0,0.0,1000.0,,136.498137181114,,,-469761.041334628,-1087065.52281977,,,,
404.65,,,,-758.258211805853,-0.0094508016481995,,,,,20391.0,141.793238892901,1000.0,,135.155557992641,,,-469620.620545325,-1087085.20338194,,,,
404.65,,,,-758.442074393342,-0.0093746883794665,,,,,20392.0,283.586477785803,1000.0,,133.82035804616,,,-469480.125050534,-1087104.34333672,,,,
404.65,,,,-758.652595718056,-0.009254740551114,,,,,20393.0,425.379716678704,1000.0,,132.499100544751,,,-469339.537260294,-1087122.79309978,,,,
404.65,,,,-758.868991589611,-0.0090881325304508,,,,,20394.0,567.172955571605,1000.0,,131.198042540602,,,-469198.85190451,-1087140.4834853,,,,
404.65,,,,-759.091002723583,-0.0088827572762966,,,,,20395.0,708.966194464507,1000.0,,129.923656395817,,,-469058.063050016,-1087157.33031423,,,,
404.65,,,,-759.31835028962,-0.0086653903126716,,,,,20396.0,850.759433357408,1000.0,,128.679583708449,,,-468917.160532636,-1087173.1983587,,,,
404.65,,,,-759.55069272324,-0.0084493653848767,,,,,20397.0,992.552672250309,1000.0,,127.466209908521,,,-468776.132733073,-1087187.91126289,,,,
404.65,,,,-759.787620065592,-0.0082309320569038,,,,,20398.0,1134.34591114321,1000.0,,126.283570703412,,,-468634.959710829,-1087201.15809543,,,,
404.65,,,,-760.023995146614,-0.0080065699294209,,,,,20399.0,1276.13915003611,1000.0,,125.132306528726,,,-468493.626970512,-1087212.57493442,,,,
404.65,,,,-760.165883689613,-0.0077786389738321,,,,,20400.0,1417.93238892901,1000.0,,124.013186547521,,,-468352.133827981,-1087221.79246227,,,,
404.65,,,,-760.307888367478,-0.00754732824862,,,,,20401.0,1559.72562782191,1000.0,,122.926548712764,,,-468210.506306093,-1087228.64159371,,,,
404.65,,,,-760.449965065639,-0.0072974427603185,,,,,20402.0,1701.51886671482,1000.0,,121.873742660012,,,-468068.789371422,-1087233.28766168,,,,
404.65,,,,-760.592073747723,-0.007013532333076,,,,,20403.0,1843.31210560772,1000.0,,120.858704155532,,,-467927.026775727,-1087236.23095995,,,,
404.65,,,,-760.734191613804,-0.0066944807767868,,,,,20404.0,1985.10534450062,1000.0,,119.886457507252,,,-467785.246949117,-1087238.17915414,,,,
404.65,,,,-760.876311192972,-0.0063477521762251,,,,,20405.0,2126.89858339352,1000.0,,118.961546584378,,,-467643.462487544,-1087239.7565416,,,,
