Line,_Plotflag,ANTOSTRAT_basement,ANTOSTRAT_basement_tracklines,bedmap2_bed,Calc_HGrad,Depth_sl,Depth_sl_cluster_750_5,Dike0_Cont1,Dip,Dist_Index,Distance,Elev_1000,FAG070,Mag_anom_draped_1000,Susc,Window_Width,x,y,Z_Both,Z_Contacts,Z_Dikes,Depth
650.0,,,,-202.32892297192,0.0179815851151943,,,,,16422.0,0.0,1000.0,,-1283.13938397553,,,377082.889554715,-1089840.54800359,,,,
650.0,,,,-203.219730380773,0.0179815851151943,,,,,16423.0,91.8656299548289,1000.0,,-1281.49012521516,,,376991.193181122,-1089846.1219642,,,,
650.0,,,,-204.105226315976,0.0177985485643148,,,,,16424.0,183.731259909658,1000.0,,-1279.84246874938,,,376899.479815274,-1089851.40876894,,,,
650.0,,,,-204.983439807254,0.0171767584979534,,,,,16425.0,275.596889864487,1000.0,,-1278.23334275636,,,376807.745785731,-1089856.32349432,,,,
650.0,,,,-205.853893571676,0.0162033978849649,,,,,16426.0,367.462519819316,1000.0,,-1276.69735714278,,,376715.991798295,-1089860.84989755,,,,
650.0,,,,-206.718473783849,0.0148506797850132,,,,,16427.0,459.328149774144,1000.0,,-1275.2679453704,,,376624.223534259,-1089865.07736369,,,,
650.0,,,,-207.580067367607,0.0132183022797108,,,,,16428.0,551.193779728973,1000.0,,-1273.97744039197,,,376532.447702141,-1089869.13789277,,,,
650.0,,,,-208.321966836825,0.0113698020577431,,,,,16429.0,643.059409683802,1000.0,,-1272.84596615274,,,376440.668420128,-1089873.11994492,,,,
650.0,,,,-208.999630266401,0.009529311209917,,,,,16430.0,734.925039638631,1000.0,,-1271.88816811893,,,376348.888998143,-1089877.09884617,,,,
650.0,,,,-209.678574172367,0.0076217697933316,,,,,16431.0,826.79066959346,1000.0,,-1271.09712179712,,,376257.110620656,-1089881.10175276,,,,
650.0,,,,-210.35858855472,0.0055718012154102,,,,,16432.0,918.656299548289,1000.0,,-1270.49219002599,,,376165.332880138,-1089885.11925105,,,,
650.0,,,,-211.039929526088,0.0036762454546988,,,,,16433.0,1010.52192950312,1000.0,,-1270.06873363921,,,376073.556260488,-1089889.1622575,,,,
650.0,,,,-211.723262512048,0.0019193532643839,,,,,16434.0,1102.38755945795,1000.0,,-1269.8124886361,,,375981.782034852,-1089893.25917385,,,,
650.0,,,,-212.408909083763,0.0002865548012778,,,,,16435.0,1194.25318941278,1000.0,,-1269.71226162774,,,375890.010830813,-1089897.42319049,,,,
650.0,,,,-213.096237142615,-0.0012119091115891,,,,,16436.0,1286.1188193676,1000.0,,-1269.75568666557,,,375798.241411881,-1089901.62646874,,,,
650.0,,,,-213.784152143371,-0.0025745313614606,,,,,16437.0,1377.98444932243,1000.0,,-1269.9307542511,,,375706.471632779,-1089905.82187801,,,,
650.0,,,,-214.472242085923,-0.0037976470775902,,,,,16438.0,1469.85007927726,1000.0,,-1270.22449423227,,,375614.700701706,-1089909.99201121,,,,
650.0,,,,-215.161108365187,-0.0048854672349989,,,,,16439.0,1561.71570923209,1000.0,,-1270.6243338327,,,375522.929791192,-1089914.16260676,,,,
650.0,,,,-215.582269220671,-0.0058287936262786,,,,,16440.0,1653.58133918692,1000.0,,-1271.11768572599,,,375431.159978685,-1089918.35727669,,,,
650.0,,,,-215.917928649952,-0.0066083837300539,,,,,16441.0,1745.44696914175,1000.0,,-1271.69036623599,,,375339.390119777,-1089922.55093295,,,,
650.0,,,,-216.25679478241,-0.0072027780115604,,,,,16442.0,1837.31259909658,1000.0,,-1272.32618685705,,,375247.61774254,-1089926.68890538,,,,
650.0,,,,-216.597564732842,-0.0076134381815791,,,,,16443.0,1929.17822905141,1000.0,,-1273.00810464621,,,375155.840815429,-1089930.72443973,,,,
650.0,,,,-216.939774101505,-0.0078439712524414,,,,,16444.0,2021.04385900624,1000.0,,-1273.71946401375,,,375064.058955205,-1089934.64637517,,,,
650.0,,,,-217.284029647677,-0.007882472127676,,,,,16445.0,2112.90948896106,1000.0,,-1274.44331511143,,,374972.273527581,-1089938.48412791,,,,
650.0,,,,-217.630458570255,-0.0077211707830429,,,,,16446.0,2204.77511891589,1000.0,,-1275.1616097638,,,374880.485023189,-1089942.24736038,,,,
650.0,,,,-217.977588379902,-0.0073671620339155,,,,,16447.0,2296.64074887072,1000.0,,-1275.85613682444,,,374788.691598007,-1089945.88807188,,,,
650.0,,,,-218.323871343695,-0.0068357214331626,,,,,16448.0,2388.50637882555,1000.0,,-1276.50977352947,,,374696.891608059,-1089949.35933582,,,,
650.0,,,,-218.668987814521,-0.0061503164470195,,,,,16449.0,2480.37200878038,1000.0,,-1277.10730780769,,,374605.085312014,-1089952.65980993,,,,
650.0,,,,-219.012965557323,-0.0053373291157186,,,,,16450.0,2572.23763873521,1000.0,,-1277.63583029933,,,374513.273385023,-1089955.79992148,,,,
650.0,,,,-219.845826972924,-0.0044272448867559,,,,,16451.0,2664.10326869004,1000.0,,-1278.08497255115,,,374421.456146206,-1089958.78038086,,,,
650.0,,,,-220.755628048518,-0.0034630876034498,,,,,16452.0,2755.96889864487,1000.0,,-1278.44763672537,,,374329.63242184,-1089961.55356125,,,,
650.0,,,,-221.657800357705,-0.0024894191883504,,,,,16453.0,2847.8345285997,1000.0,,-1278.72095005456,,,374237.801290255,-1089964.06979485,,,,
650.0,,,,-222.551893257244,-0.001552056055516,,,,,16454.0,2939.70015855452,1000.0,,-1278.90617391255,,,374145.963097252,-1089966.31414172,,,,
