Distance,Distance_36k,x,y,Line,bedmap2_bed,Susc,Window_Width,Depth,data/results/rosetta_lindeque_basement_g80kfilt.nc,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip
83000.0,64800.0,297973.37654900004,-1091931.5083700002,650.0,-1111.902019594,40.040007220942,21955.88555808,-16377.783690792,-3277.8837675659997,-16377.783690792,-3390.6953648377753,0.0,103.2,-4059.749416102716,-3828.3475099352527,-3828.3475099352527
88000.0,72000.0,289181.3475705,-1092345.754425,650.0,-1148.456739295,24.38307081705,23885.06378695,-14169.62011665,-3339.982544925,-14169.62011665,-3979.2308134263126,0.0,106.0,-4344.344945393339,-4133.861015045229,-4133.861015045229
93000.0,72000.0,284268.317085,-1092575.174085,650.0,-1155.96974032,18.4289122891,23885.06378705,-12523.5341792,-3253.7477820599997,-12523.5341792,-4396.223385896182,0.0,106.0,-4577.800850406862,-4392.886732197302,-4392.886732197302
98000.0,72000.0,279303.977618,-1092809.83348,650.0,-1154.28143707,11.347129031265002,20210.43858905,-9560.526855105,-3142.004177925,-9560.526855105,-4237.421131176788,0.0,106.0,-4760.117131143286,-4600.772825072276,-4600.772825072276
103000.0,72000.0,274147.2938255,-1092968.40329,650.0,-1143.533975965,2.33647738135,15157.82894175,-4962.621093545,-3029.50903439,-4962.621093545,-4142.139778345152,0.0,106.0,-4891.293787602613,-4757.519293670151,-4757.519293670151
108000.0,81000.0,266716.57657875,-1092943.33278,650.0,-1107.955554245,12.219349525424999,18143.4619151,-11095.988402905,-2941.62086895,-11095.988402905,-4011.695069111364,0.0,86.25,-4971.330819784837,-4863.126137990926,-4863.126137990926
113000.0,90000.0,263118.8182175,-1092930.29594,650.0,-1086.1213861,8.79890393825,17454.469690500002,-9684.87426721,-2920.79319636,-9684.87426721,-4010.5607672919396,0.0,66.5,-5000.228227689966,-4917.593358034604,-4917.593358034604
118000.0,99000.0,259521.05985624998,-1092917.2591,650.0,-1064.287217955,5.378458351074999,16765.4774659,-8273.760131515,-2899.96552377,-8273.760131515,-4009.4264654725152,0.0,46.75,-4977.986011317994,-4921.731917929387,-4921.731917929387
123000.0,108000.0,252510.857715,-1092893.7103825002,650.0,-1014.7897762167499,1.6497429167375,19062.1182146,-5683.710571055,-2876.0128383275,-5683.710571055,-3996.9491454588488,0.0,27.0,-4904.604170668923,-4883.854199989398,-4883.854199989398
128000.0,108000.0,247110.00462099997,-1092878.4755475,650.0,-969.76404651025,2.3224307907725,23196.0715624,-6091.235229245,-2869.6711847025,-6091.235229245,-3995.7692242297944,0.0,27.0,-4784.948490511993,-4814.09725581722,-4814.09725581722
133000.0,108000.0,243756.924124,-1092869.479985,650.0,-941.3531504289999,2.8147474493,19291.7822895,-5970.27050757,-2864.931581705,-5970.27050757,-3997.946589049384,0.0,27.0,-4664.027479962678,-4722.598137015437,-4722.598137015437
138000.0,108000.0,239149.929919,-1092859.2204399998,650.0,-901.4143147055,2.923542956735,19291.78228945,-6853.6950680850005,-2855.6796508400002,-6853.6950680850005,-4021.8976020648633,0.0,27.0,-4552.7891547517675,-4619.493895186632,-4619.493895186632
143000.0,108000.0,235234.264783,-1092844.296325,650.0,-868.290089738,2.076315936435,12401.860043199998,-5555.943359145,-2857.502340175,-5555.943359145,-4041.493885441165,0.0,27.0,-4451.233514879264,-4514.921581933389,-4514.921581933389
148000.0,144000.0,228972.098352,-1092826.9343050001,650.0,-822.7296052295001,5.54807658341,12401.860043199998,-9565.784667625001,-2890.228218415,-9565.784667625001,-4052.38070953911,0.0,152.0,-4359.360560345163,-4418.207284730087,-4418.207284730087
153000.0,144000.0,224327.2821615,-1092811.36113,650.0,-793.4918455145,2.769964181075,14698.500791999999,-6579.86401341,-2939.1726525450003,-6579.86401341,-4063.267533637055,0.0,152.0,-4277.170291149469,-4331.17567286519,-4331.17567286519
