Line,ANTOSTRAT_basement,bedmap2_bed,Distance,Susc,Window_Width,x,y,Depth,Distance_36k,Depth_36k
404.65,,-762.010647973603,3258.71240234375,23.6891062579232,5671.729556,-466511.921433993,-1087263.43665935,-9716.7070308785,0.0,-9716.7070308785
404.65,,-762.082192842111,3330.166015625,106.565312237607,11343.459112,-466440.5095637,-1087265.87862769,-16215.4648431532,,
404.65,,-765.056574018459,6551.39794921875,142.487413358797,17015.188668,-463221.879930838,-1087395.06592441,-17422.8164056113,,
404.65,,-765.093581391996,7051.4423828125,96.6992459539999,17724.1548625,-462722.264073292,-1087415.76446536,-15515.9160150524,,
404.65,,-765.097218396852,7123.06298828125,0.389346990813151,2835.864778,-462650.703423896,-1087418.69420407,-3678.01806624407,,
404.65,,-765.137324669906,7311.74365234375,96.664589472991,15597.256279,-462462.169415064,-1087426.12898034,-15539.1132806766,,
404.65,,-765.257088001791,7445.31201171875,79.3002107377468,18433.121057,-462328.689605411,-1087430.98643173,-14599.5615228967,,
404.65,,-765.519134620058,7731.7626953125,71.8654241920348,19142.0872515,-462042.379574716,-1087439.93370062,-14170.4365229116,,
404.65,,-765.677858603073,7902.20166015625,68.4583545991867,16306.2224735,-461871.99673077,-1087444.29611398,-14007.2587885422,,
404.65,,-765.715219202976,7942.06396484375,63.3849956370701,19851.053446,-461832.145794585,-1087445.24806997,-13642.4990229299,,
404.65,,-765.949891074298,8190.48876953125,49.4623759034558,20560.0196405,-461583.763614128,-1087449.8118901,-12608.2763667157,,
404.65,,-766.031553426248,8315.1708984375,59.0853652513212,17015.188668,-461459.092618862,-1087451.46009056,-13390.4882807511,,
404.65,,-766.0424384967,8547.6123046875,34.9098766854904,21268.985835,-461226.660616793,-1087453.49461205,-11208.6962886393,,
404.65,,-766.043272395029,8565.7802734375,58.040554668335,17724.1548625,-461208.492813708,-1087453.57219787,-13335.548827628,,
404.65,,-766.04386668747,8578.765625,75.5334381534105,13470.3576955,-461195.507580552,-1087453.62765146,-14594.6181635219,,
404.65,,-766.049893842354,8711.2265625,57.088843247337,18433.121057,-461063.047552238,-1087454.08289072,-13295.9521479419,,
404.65,,-766.053530837266,8790.3994140625,0.0522262976951073,1417.932389,-460983.874751984,-1087454.1730267,-1397.62011710438,,
404.65,,-766.056733612853,8859.0625,49.8657081940763,19142.0872515,-460915.21173352,-1087454.14655792,-12764.1240229603,,
404.65,,-766.065370984389,9037.77734375,23.4672595037785,21977.9520295,-460736.497557473,-1087453.70031904,-9683.3720699421,,
404.65,,-766.065612100866,9042.6181640625,45.0596610085777,14179.32389,-460731.656772908,-1087453.68171525,-12468.1259760956,,
404.65,,-766.070958686036,9147.701171875,59.4689408781837,15597.256279,-460626.574927426,-1087453.19892152,-13738.3583979266,,
404.65,,-766.071836100759,9164.3740234375,37.5071000510381,19851.053446,-460609.902370336,-1087453.09982915,-11638.8691401868,,
404.65,,-766.07494707223,9222.9912109375,53.090934160918,12761.391501,-460551.28621812,-1087452.75144746,-13160.7773432591,,
404.65,,-766.249711020539,9453.498046875,32.3382608373533,9925.526723,-460320.786870529,-1087450.9114446,-11154.0361323911,0.0,-11154.0361323911
404.65,,-766.25952777595,9463.734375,38.0394063122541,14888.2900845,-460310.551020703,-1087450.81249091,-11802.5585933062,,
404.65,,-766.429999987282,9641.7197265625,15.7125508322495,22686.918224,-460132.575819002,-1087448.9184493,-8191.473632493849,,
404.65,,-766.448318678726,9660.8779296875,25.8636790200695,20560.0196405,-460113.418875977,-1087448.69872015,-10221.9306636735,,
404.65,,-766.506066499948,9721.296875,44.1567526630336,16306.2224735,-460053.004645568,-1087447.94623749,-12545.5527339054,,
404.65,,-766.541985208905,9758.90625,37.9241467590839,15597.256279,-460015.398659248,-1087447.44138025,-11790.3212886191,,
404.65,,-766.606331403894,9826.380859375,55.5706588847363,14888.2900845,-459947.930129472,-1087446.53562084,-13542.6650385583,,
404.65,,-766.611934738974,9832.2626953125,47.4711141111971,17724.1548625,-459942.048823499,-1087446.45666479,-12761.1181635854,,
404.65,,-766.674496802569,9897.96875,41.6532623191031,16306.2224735,-459876.349903371,-1087445.48866306,-12173.6132807933,,
404.65,,-766.684336182608,9908.314453125,46.4267233573157,17015.188668,-459866.005336264,-1087445.33535125,-12635.3427729648,,
404.65,,-766.70087133766,9925.7080078125,39.8737178748415,18433.121057,-459848.613691489,-1087445.07759812,-12081.235351109,,
404.65,,-766.7189772066,9944.7646484375,35.873487380431,15597.256279,-459829.559143392,-1087444.7951999,-11625.5429683123,,
404.65,,-766.918613836163,10155.638671875,45.6062332274157,17015.188668,-459618.708641461,-1087441.64666616,-12748.4238276484,,
404.65,,-767.032365169177,10306.3515625,17.510876454996,21268.985835,-459468.009675266,-1087439.60201119,-8781.67675747339,,
404.65,,-767.032991194562,10316.59375,28.9515982317786,19142.0872515,-459457.768219937,-1087439.47954686,-10846.5312495893,,
404.65,,-767.033240917116,10320.66796875,10.8259448212845,23395.8844185,-459453.694292435,-1087439.43083203,-6812.46533176041,,
404.65,,-767.036861327533,10379.0244140625,5.01463433708161,4962.7633615,-459395.342018775,-1087438.7330726,-6034.80810522487,0.0,-6034.80810522487
404.65,,-767.040783456958,10440.93359375,47.2021888737055,16306.2224735,-459333.436729496,-1087438.04238262,-12890.008788581,,
404.65,,-767.043573098854,10484.3671875,34.3429818567971,17724.1548625,-459290.005156142,-1087437.62345297,-11620.575194875,,
404.65,,-767.050371299543,10588.205078125,10.5658648067963,7089.661945,-459186.171587743,-1087436.68315245,-7805.969726257221,0.0,-7805.969726257221
404.65,,-767.063496479347,10785.3896484375,32.5339485338909,12052.4253065,-458988.990542544,-1087435.5413456,-11450.3085933184,,
404.65,,-767.072166856385,10916.0,38.7058068127562,15597.256279,-458858.38074968,-1087435.21528939,-12074.2792964217,,
404.65,,-767.072565890432,10922.0791015625,39.5214071683762,14179.32389,-458852.30165003,-1087435.21046689,-12227.1855464164,,
404.65,,-767.075739028944,10970.388671875,19.8761998057261,19851.053446,-458803.992094919,-1087435.17214333,-9438.3144527631,,
404.65,,-767.078174563975,11007.54296875,28.2976423714582,17015.188668,-458766.837817462,-1087435.15292062,-10894.8037105251,,
404.65,,-767.078298027302,11009.486328125,19.6151113781919,13470.3576955,-458764.894463231,-1087435.15739208,-9597.1445308826,,
404.65,,-767.078554700941,11013.52734375,7.94287957490245,24104.850613,-458760.853458303,-1087435.16669001,-5629.86328102016,,
404.65,,-767.080516901004,11044.458984375,12.1787813431239,21977.9520295,-458729.921899556,-1087435.23786034,-7448.777343457101,,
404.65,,-767.087669633319,11158.080078125,15.278402262138,9216.5605285,-458616.301178066,-1087435.5190254,-8903.44531215667,0.0,-8903.44531215667
404.65,,-767.087703316783,11158.63671875,30.1837019871911,14888.2900845,-458615.744544246,-1087435.52177789,-11103.4853511429,,
404.65,,-767.089271863307,11184.6142578125,23.7854837913038,14179.32389,-458589.767322777,-1087435.65023223,-10235.9902339855,,
404.65,,-767.094566597075,11290.7109375,23.2785051614284,18433.121057,-458483.671940197,-1087436.17486154,-10143.7587886762,,
404.65,,-767.091390884616,11641.556640625,26.8902702546963,13470.3576955,-458132.842752858,-1087439.50901829,-10772.5722652169,,
404.65,,-767.090988568453,11673.8544921875,31.9205926175933,13470.3576955,-458100.547608448,-1087439.92718468,-11480.5800776923,,
404.65,,-767.090866706223,11683.6376953125,6.25541919112926,24813.8168075,-458090.765225335,-1087440.05384965,-4652.76220683528,,
404.65,,-767.090078457086,11745.3076171875,19.1860995406576,11343.459112,-458029.100760268,-1087440.87261582,-9645.6542965059,,
404.65,,-767.089681583952,11772.0146484375,13.9415254202407,20560.0196405,-458002.396887381,-1087441.28333596,-8119.9609371838305,,
404.65,,-767.089330588709,11795.634765625,9.08529116383213,22686.918224,-457978.7795635,-1087441.64658329,-6340.46533177677,,
404.65,,-767.087705291467,11902.337890625,25.7845618136617,14888.2900845,-457872.089718714,-1087443.32774087,-10591.0400386607,,
404.65,,-767.087288900407,11926.8515625,70.7710367309307,4253.797167,-457847.579813642,-1087443.75746424,-15742.5117181696,0.0,-15742.5117181696
404.65,,-767.082762110263,12182.1220703125,42.227625578294,12052.4253065,-457592.352046137,-1087448.42563507,-12910.0419917053,,
404.65,,-767.081314235069,12257.134765625,21.7961770855628,16306.2224735,-457517.354168241,-1087449.91653046,-9958.6474605576,,
404.65,,-767.08108746471,12268.8837890625,16.1044232288974,19142.0872515,-457505.607465612,-1087450.15004513,-8759.90722622415,,
