Line,ANTOSTRAT_basement,bedmap2_bed,Distance,Mag_anom_draped_1000,Susc,Window_Width,x,y,Z_Dikes,Depth
403.1,,-638.708238980431,0.0,-28.4962366768994,,,-430285.961048494,-1349793.73172885,,
403.1,,-639.134024923133,125.597203932358,-29.0740318781364,,,-430163.429326276,-1349821.31120897,,
403.1,,-639.559165436104,251.194407864716,-29.6348616817484,,,-430040.791195372,-1349848.41351102,,
403.1,,-639.9837094527,376.791611797074,-30.1766147038288,,,-429918.05722777,-1349875.07849569,,
403.1,,-640.407798520115,502.388815729433,-30.69691987558,,,-429795.251738909,-1349901.41210519,,
403.1,,-640.831422280294,627.986019661791,-31.1940988787594,,,-429672.374626405,-1349927.40909674,,
403.1,,-641.254352676429,753.583223594149,-31.6679069834371,,,-429549.393473711,-1349952.90888246,,
403.1,,-641.641213395451,879.180427526507,-32.119610097954,,,-429426.288457495,-1349977.80363539,,
403.1,-2022.74921142214,-641.998765170475,1004.77763145887,-32.5507360361184,,,-429303.061624019,-1350002.08819588,,
403.1,-2026.37882035488,-642.349612724154,1130.37483539122,-32.9620128844392,,,-429179.720285869,-1350025.78432738,,
403.1,-2030.01754774174,-642.69400394978,1255.97203932358,-33.3537576331224,,,-429056.274867974,-1350048.93244512,,
403.1,-2033.66284049137,-643.032242165685,1381.56924325594,-33.7271019181852,,,-428932.748406069,-1350071.64471434,,
403.1,-2037.3104005788,-643.364648355809,1507.1664471883,-34.0844490454341,,,-428809.176505096,-1350094.10890538,,
403.1,-2040.95685590073,-643.691424947405,1632.76365112066,-34.4283545340921,,,-428685.586273309,-1350116.47206098,,
403.1,-2044.60211828422,-644.012610994411,1758.36085505301,-34.7604581144652,,,-428561.978642188,-1350138.73880453,,
403.1,-2048.24695546155,-644.307315730546,1883.95805898537,-35.0819633970951,,,-428438.347927088,-1350160.87698642,,
403.1,-2051.89055232865,-644.579569125369,2009.55526291773,-35.3941635699186,,,-428314.700657069,-1350182.92261599,,
403.1,-2055.53017010495,-644.85184040725,2135.15246685009,-35.6981331322058,,,-428191.057896017,-1350204.99349078,,
403.1,-2059.16405732623,-645.12417918953,2260.74967078245,-35.9947289766385,,,-428067.432943584,-1350227.1638748,,
403.1,-2062.79245153887,-645.39657794309,2386.3468747148,-36.285564740295,,,-427943.823872731,-1350249.4226706,,
403.1,-2066.41672151954,-645.668997521361,2511.94407864716,-36.5734391682908,,,-427820.220157231,-1350271.71121355,,
403.1,-2070.03711861918,-645.941430670999,2637.54128257952,-36.8601803203087,,,-427696.619848264,-1350294.0186363,,
403.1,-2073.65137791114,-646.21394024265,2763.13848651188,-37.144959550197,,,-427573.040107485,-1350316.43962465,,
403.1,-2077.25633288913,-646.393746630229,2888.73569044424,-37.4259603300946,,,-427449.504969412,-1350339.10486147,,
403.1,-2080.84916062356,-646.435577213112,3014.3328943766,-37.7031863059409,,,-427326.03610752,-1350362.12817902,,
403.1,-2084.4302125106,-646.471963321091,3139.93009830895,-37.9784956543733,,,-427202.630917408,-1350385.49055844,,
403.1,-2087.99971439029,-646.502775815693,3265.52730224131,-38.2524165222022,,,-427079.287779805,-1350409.17841277,,
403.1,-2091.5573420911,-646.527902856065,3391.12450617367,-38.5222759849243,,,-426956.009348858,-1350433.20077943,,
403.1,-2095.10268954514,-646.5472296091,3516.72171010603,-38.7844514959712,,,-426832.798964229,-1350457.56979393,,
403.1,-2098.6384754054,-646.560606658041,3642.31891403839,-39.0367121293649,,,-426709.634981704,-1350482.17240209,,
403.1,-2102.16733401307,-646.580521473926,3767.91611797074,-39.2776709896994,,,-426586.496233353,-1350506.90104643,,
403.1,-2105.68917985038,-646.632346385352,3893.5133219031,-39.5047658763782,,,-426463.383294004,-1350531.757823,,
403.1,-2109.20009156061,-646.676836414089,4019.11052583546,-39.7149331687,,,-426340.327579467,-1350556.89615117,,
403.1,-2112.69523170215,-646.715962187226,4144.70772976782,-39.9038117510888,,,-426217.368380558,-1350582.50219631,,
403.1,-2116.17338098688,-646.749626166155,4270.30493370018,-40.0657282872372,,,-426094.516229506,-1350608.61702375,,
403.1,-2119.63646056197,-646.777526097216,4395.90213763253,-40.1954522776285,,,-425971.755768614,-1350635.15968815,,
403.1,-2123.08738573998,-646.799347133646,4521.49934156489,-40.289742526941,,,-425849.062902256,-1350662.01313008,,
403.1,-2126.52726050754,-646.814921545785,4647.09654549725,-40.346562171041,,,-425726.428374219,-1350689.13172095,,
403.1,-2129.9559920466,-646.82415736148,4772.69374942961,-40.3622804848368,,,-425603.852918496,-1350716.51605828,,
403.1,-2133.37400822017,-646.831431209967,4898.29095336197,-40.3319046607047,,,-425481.332830081,-1350744.14715618,,
403.1,-2136.78300592395,-646.860996856299,5023.88815729433,-40.2527025606046,,,-425358.853579893,-1350771.95878299,,
403.1,-2140.18471491371,-646.890678595719,5149.48536122668,-40.1259815661012,,,-425236.400294959,-1350799.88457363,,
403.1,-2143.58076521848,-646.920413212696,5275.08256515904,-39.9538428467952,,,-425113.958979888,-1350827.86280948,,
403.1,-2146.97256060433,-646.950146887384,5400.6797690914,-39.7380934367611,,,-424991.517642846,-1350855.8409419,,
403.1,-2150.36277650825,-646.979778105008,5526.27697302376,-39.481960106237,,,-424869.053696587,-1350883.71984867,,
403.1,-2153.75284797162,-647.009253222208,5651.87417695612,-39.1898398160677,,,-424746.555331776,-1350911.4471469,,
403.1,-2157.14187862796,-647.038607196899,5777.47138088847,-38.8636849573268,,,-424624.030421835,-1350939.05696605,,
403.1,-2160.52912077259,-647.067869094227,5903.06858482083,-38.5018120875088,,,-424501.485467514,-1350966.57768282,,
403.1,-2163.91508258976,-647.279376859646,6028.66578875319,-38.1032912311378,,,-424378.916494999,-1350993.99120118,,
403.1,-2167.30214322741,-647.486354440456,6154.26299268555,-37.671633234344,,,-424256.30432752,-1351021.21067069,,
403.1,-2170.69196120561,-647.686571156541,6279.86019661791,-37.2124932953839,,,-424133.636083704,-1351048.17627962,,
403.1,-2174.08436618542,-647.880116855821,6405.45740055027,-36.7297342261557,,,-424010.913968908,-1351074.89569881,,
403.1,-2177.4790198809,-648.06707865707,6531.05460448262,-36.2252931430506,,,-423888.141482644,-1351101.38273349,,
403.1,-2180.87587742964,-648.247537501035,6656.65180841498,-35.7009464994176,,,-423765.319723908,-1351127.64035164,,
403.1,-2184.2740665286,-648.421569491123,6782.24901234734,-35.1586753502149,,,-423642.456204391,-1351153.7019489,,
403.1,-2187.67256988268,-648.589234142731,6907.8462162797,-34.5988945648415,,,-423519.55937407,-1351179.60605754,,
403.1,-2191.07045084137,-648.64720481192,7033.44342021206,-34.0207662723943,,,-423396.636856089,-1351205.38803045,,
403.1,-2194.46773142286,-648.679307708294,7159.04062414441,-33.4244382956531,,,-423273.688788251,-1351231.04788392,,
403.1,-2197.8654612096,-648.705160546593,7284.63782807677,-32.811621436309,,,-423150.707511486,-1351256.54807631,,
403.1,-2201.26569528248,-648.724856156146,7410.23503200913,-32.1839859009565,,,-423027.678014751,-1351281.81454685,,
403.1,-2204.67233828116,-648.73856338214,7535.83223594149,-31.5415563577765,,,-422904.572093348,-1351306.70586369,,
403.1,-2208.08624005692,-648.74643631074,7661.42943987385,-30.8829257907001,,,-422781.385043097,-1351331.19257619,,
403.1,-2211.50546709274,-648.748556920781,7787.0266438062,-30.2067733285722,,,-422658.132433103,-1351355.34725194,,
403.1,-2214.92645372276,-648.744915570371,7912.62384773856,-29.5118638295219,,,-422534.840831406,-1351379.30216337,,
403.1,-2218.34857452395,-648.478684152515,8038.22105167092,-28.7975854935771,,,-422411.515235869,-1351403.08140081,,
403.1,-2221.77422960886,-648.100630480698,8163.81825560328,-28.0629798405582,,,-422288.139355544,-1351426.59831404,,
403.1,-2225.20342266995,-647.711257010166,8289.41545953564,-27.3072744783137,,,-422164.71401383,-1351449.85422702,,
403.1,-2228.63551455556,-647.310718396689,8415.01266346799,-26.5307520655745,,,-422041.244402315,-1351472.87397613,,
403.1,-2232.0693232171,-646.899114170756,8540.60986740035,-25.7350369578774,,,-421917.739228152,-1351495.70211581,,
403.1,-2235.50502079849,-646.447347975554,8666.20707133271,-24.9230785199589,,,-421794.197851153,-1351518.33358451,,
403.1,-2238.94041783047,-645.988061696864,8791.80427526507,-24.0988711602309,,,-421670.63534138,-1351540.84942881,,
403.1,-2242.37305924056,-645.528863487908,8917.40147919743,-23.2666591552412,,,-421547.068185673,-1351563.33974355,,
403.1,-2245.79922732597,-645.152502532446,9042.99868312979,-22.4305364163776,,,-421423.521008527,-1351585.93946386,,
403.1,-2249.21756542995,-644.831335766163,9168.59588706214,-21.594906153887,,,-421300.002717266,-1351608.69656916,,
403.1,-2252.6293430003,-644.515427729451,9294.1930909945,-20.7649478534405,,,-421176.504785117,-1351631.56396047,,
403.1,-2256.03588728291,-644.204973069304,9419.79029492686,-19.9459536342199,,,-421053.018302758,-1351654.4931004,,
403.1,-2259.43681393953,-643.899953422784,9545.38749885922,-19.1426539147853,,,-420929.545763908,-1351677.49717867,,
403.1,-2262.83056682715,-643.600234275577,9670.98470279158,-18.3599056800652,,,-420806.097468303,-1351700.63088562,,
403.1,-2266.21597528049,-643.305748067843,9796.58190672394,-17.6033340335642,,,-420682.681134682,-1351723.9345392,,
403.1,-2269.59406446226,-643.016658169562,9922.17911065629,-16.8780438602749,,,-420559.289822128,-1351747.37039011,,
403.1,-2272.96468609966,-643.094809782094,10047.7763145887,-16.1871807541055,,,-420435.924471097,-1351770.9424187,,
403.1,-2276.32353415736,-643.490197743526,10173.373518521,-15.533097955964,,,-420312.6141289,-1351794.79991033,,
403.1,-2279.66601642822,-643.859863497002,10298.9707224534,-14.9192432026291,,,-420189.390230042,-1351819.09954076,,
403.1,-2282.99232692855,-644.203236741149,10424.5679263857,-14.3495154355581,,,-420066.251916072,-1351843.8296289,,
403.1,-2286.6036564144,-644.52068066387,10550.1651303181,-13.8263856141179,,,-419943.167060196,-1351868.82499145,,
403.1,-2290.55506559101,-644.81238512111,10675.7623342504,-13.3519463287198,,,-419820.118188939,-1351893.99692759,,
403.1,-2294.50097197357,-645.077818149718,10801.3595381828,-12.9304716331577,,,-419697.114022713,-1351919.38630885,,
403.1,-2298.43995361501,-645.316326006205,10926.9567421152,-12.5675982230431,,,-419574.164731789,-1351945.04005393,,
403.1,-2302.37320557873,-645.398914481101,11052.5539460475,-12.2666241445985,,,-419451.262540113,-1351970.91863936,,
403.1,-2306.30098241254,-645.280580976374,11178.1511499799,-12.027888851232,,,-419328.406104549,-1351997.01358057,,
403.1,-2310.22207850396,-645.166922841012,11303.7483539122,-11.8522273554255,,,-419205.60431042,-1352023.3644206,,
