Line,ANTOSTRAT_basement,bedmap2_bed,Distance,Susc,Window_Width,x,y,Depth,Distance_36k,Depth_36k
403.3,,-423.773025702973,264.519622802734,0.137890893410729,671.0590075,314133.385074222,-2010568.80000673,-674.1358641997699,,
403.3,,-427.12902370092,1249.70837402344,0.138949087103901,4026.354045,313150.782342534,-2010530.85241235,-427.12902370092,,
403.3,,-427.510041392719,1304.6943359375,0.2115211216772,2684.23603,313096.461489185,-2010522.34375559,-604.4157714287501,,
403.3,,-430.221759096122,1692.60717773438,0.117197861902555,3355.2950375,312716.410454288,-2010445.30005159,-430.221759096122,,
403.3,,-431.125495441373,1827.05578613281,0.190927839086395,2684.23603,312586.427547985,-2010410.96290584,-552.75671381336,,
403.3,,-432.127850609979,1988.33532714844,5.49552915115294,8052.70809,312432.264917989,-2010363.62678661,-4874.2973630776,0.0,-4874.2973630776
403.3,,-434.740952997138,2422.37084960938,0.0910272696561546,1342.118015,312027.345590637,-2010207.95787061,-434.740952997138,,
403.3,,-439.168361136189,3082.87133789063,0.711721259328209,8723.7670975,311450.870893224,-2009887.32308857,-1741.57641592058,,
403.3,,-442.956841288638,3427.619140625,0.287298323668883,1342.118015,311173.963761617,-2009682.06146681,-733.0157470102299,,
403.3,,-447.209709951523,3726.45629882813,0.0858654660509117,2013.1770225,310937.906488747,-2009498.81245453,-447.209709951523,,
403.3,,-451.797418937954,4059.7431640625,0.429520898084821,6710.590075,310672.151310756,-2009297.68739702,-1392.17260733894,,
403.3,,-453.630137107533,4556.88623046875,0.227215611966474,8052.70809,310267.706016231,-2009008.64301988,-849.4184569671299,,
403.3,,-453.121830502522,4633.07470703125,0.386581829317742,7381.6490825,310204.793942095,-2008965.66913375,-1250.27050773449,,
403.3,,-448.779057481073,5148.3857421875,0.13818294613109,6039.5310675,309773.231401292,-2008684.11715623,-448.779057481073,,
403.3,,-445.810814167699,5425.35205078125,0.187764977568354,7381.6490825,309536.919208307,-2008539.68269363,-822.5096434915099,,
403.3,,-444.656518417312,5613.18115234375,0.481049828017386,6710.590075,309374.425300011,-2008445.48011905,-1663.44970693891,,
403.3,,-443.955630406062,5745.05615234375,0.168987665216167,8052.70809,309259.390225024,-2008381.00174865,-443.955630406062,,
403.3,,-439.957876016255,6360.92138671875,0.132771255258353,7381.6490825,308717.490390194,-2008088.37663975,-439.957876016255,,
403.3,,-439.777099141783,6384.7509765625,0.635722384406111,4697.4130525,308696.567830631,-2008076.97068282,-2122.20581043864,,
403.3,,-439.737533637083,6389.93310546875,1.96951790436888,8723.7670975,308692.017882376,-2008074.4902734,-3658.36279280726,0.0,-3658.36279280726
403.3,,-437.872319350144,6631.34326171875,0.86366264291935,4697.4130525,308480.229673546,-2007958.62584825,-2426.89111316245,,
403.3,,-437.432435908907,6719.8251953125,1.62434295550424,7381.6490825,308402.701922563,-2007915.98207339,-3149.3715818873998,0.0,-3149.3715818873998
403.3,,-434.951848346703,7171.19189453125,6.06655687211365,8052.70809,308008.820469934,-2007695.55777143,-5492.50976539992,0.0,-5492.50976539992
403.3,,-434.646314479453,7222.509765625,0.128478322150801,8052.70809,307964.117631926,-2007670.35499048,-434.646314479453,,
403.3,,-434.432024775567,7258.15966796875,0.1028019879747,4697.4130525,307933.031187322,-2007652.90369041,-727.5955809948,,
