Line,ANTOSTRAT_basement,bedmap2_bed,Distance,Susc,Window_Width,x,y,Depth,Distance_36k,Depth_36k
403.1,,-640.123787198404,418.271575927734,0.312644879372473,1883.9580585,-429877.501955615,-1349883.78810674,-2008.28710927071,,
403.1,-2097.34801787692,-646.556423326282,3596.4599609375,3.38451122780805,9419.7902925,-426754.604562259,-1350473.18461014,-4372.66308575124,0.0,-4372.66308575124
403.1,-2120.04358151736,-646.780431746497,4410.7060546875,4.4457740416114,8163.8182535,-425957.292886699,-1350638.31896131,-5183.33837869189,0.0,-5183.33837869189
403.1,-2127.17132788087,-646.817150471829,4670.66552734375,0.521187000880887,1883.9580585,-425703.423639626,-1350694.25803459,-1772.48803701326,,
403.1,-2139.39047728802,-646.883733825914,5120.1376953125,1.57513440511194,5651.8741755,-425265.011274117,-1350793.35025146,-3175.3935545427503,0.0,-3175.3935545427503
403.1,-2169.01218880158,-647.588246856215,6217.650390625,5.61080544192141,10675.7623315,-424194.405428685,-1351034.86663378,-5885.05029273006,,
403.1,-2198.12090800127,-648.706852083606,7294.08447265625,2.89298501693859,10675.7623315,-423141.457254902,-1351258.46428271,-3928.6728513916296,,
403.1,-2238.21131740133,-646.08550835101,8765.1474609375,1.93628241402867,19467.5666045,-421696.862031792,-1351536.0801043,-1535.84521475584,,
403.1,-2247.55456243735,-644.987036814554,9107.4580078125,17.0495913165758,4395.9021365,-421360.125096509,-1351597.59977595,-6182.69580053224,0.0,-6182.69580053224
403.1,-2249.40971803166,-644.813408713336,9175.6650390625,4.22322434442864,18211.5945655,-421293.051522214,-1351609.98256969,-3894.89599592406,,
403.1,-2255.00078205922,-644.298810605422,9381.6005859375,2.1269645168507,18211.5945655,-421090.563996629,-1351647.50920862,-1929.31347646095,,
403.1,-2255.77085042064,-644.228952844739,9410.0107421875,4.24632764186069,16955.6225265,-421062.632937251,-1351652.70467781,-3843.75585920708,,
403.1,-2261.32922423758,-643.732375589997,9615.365234375,6.35248046469263,14443.6784485,-420860.757909777,-1351690.34687097,-4779.30322245589,,
403.1,-2262.31666632943,-643.64535711698,9651.94140625,4.18915191198325,15699.6504875,-420824.812016391,-1351697.10770055,-3764.7290037410703,,
403.1,-2264.44161711034,-643.459585506512,9730.7041015625,6.28882892024481,15699.6504875,-420747.409018135,-1351711.67952384,-4838.24267557885,,
403.1,-2265.84161352686,-643.338095047577,9782.6767578125,6.01987987184199,16955.6225265,-420696.343038306,-1351721.34503044,-4767.04345683132,,
403.1,-2267.30669492472,-643.21188575304,9837.1044921875,9.62012516179549,11931.7343705,-420642.867418143,-1351731.48092297,-5688.01318336189,,
403.1,-2267.50342832196,-643.195016369427,9844.4150390625,4.7494686715991,3139.9300975,-420635.684755988,-1351732.84234134,-4175.08886700809,0.0,-4175.08886700809
403.1,-2268.10537925328,-643.14350130451,9866.7890625,5.60518854168331,13187.7064095,-420613.702653102,-1351737.01175795,-4452.01806621724,,
403.1,-2269.71428454176,-643.006461463251,9926.6533203125,2.28156285455185,16955.6225265,-420554.894548575,-1351748.2071233,-2231.86645496608,,
403.1,-2273.9952183548,-643.218621210461,10086.23046875,4.0536464408987,14443.6784485,-420398.158540963,-1351778.18510421,-3722.96630843002,,
403.1,-2281.29114263398,-644.030793039472,10360.2294921875,6.28137234535547,10675.7623315,-420129.314967366,-1351831.08264194,-4718.63867167675,,
403.1,-2285.05583341091,-644.399495489343,10500.9990234375,4.65918878537529,11931.7343705,-419991.344393234,-1351859.01425003,-4103.61572247932,,
403.1,-2285.10631193487,-644.403507495616,10502.6025390625,2.48816545886,15699.6504875,-419989.773125724,-1351859.33421999,-2590.15576159429,,
403.1,-2290.47798421787,-644.806937163789,10673.3115234375,4.02912218955241,13187.7064095,-419822.519045426,-1351893.50462507,-3802.2031248335197,,
403.1,-2292.47833624595,-644.945059411751,10736.9482421875,4.88187880519024,6907.8462145,-419760.187885624,-1351906.32863412,-4191.72265607001,0.0,-4191.72265607001
403.1,-2295.85856981943,-645.163130205964,10844.6044921875,4.07574825420668,6907.8462145,-419654.770672621,-1351928.17069203,-3858.1518553003298,0.0,-3858.1518553003298
403.1,-2296.80255812099,-645.220417246003,10874.7216796875,4.57599644049921,5651.8741755,-419625.29213092,-1351934.34001631,-4079.31445294891,0.0,-4079.31445294891
403.1,-2298.39722595836,-645.313879019897,10925.59375,4.1391928102878,3139.9300975,-419575.498821166,-1351944.76085321,-3899.3334959239,0.0,-3899.3334959239
403.1,-2298.57650062352,-645.324125944326,10931.3125,8.92975978363349,27003.3988385,-419569.901339317,-1351945.93230467,-6512.8188473958,,
403.1,-2299.69800944098,-645.386949380871,10967.1005859375,4.34592774732738,8163.8182535,-419534.875254418,-1351953.27803957,-4009.0483396701,0.0,-4009.0483396701
